,text,label,Translated Text
560,Paano kasi matatapos yun hindi lahat makuntento hahaha??,possible suicidal post,How can it end without everyone being satisfied hahaha??
561,Ano pa nga ba sympre ako ulit mag aadjust ??,possible suicidal post,What else am I supposed to adjust again??
562,Awit sa wampayb,non-suicide,Song on wamwayb
563,Thank you luts,non-suicide,Thank you luts
564,Hindi ako natuwa sa national id ko,non-suicide,I was not happy with my national id
565,Awit naman kase,non-suicide,It's a song
566,Parang ayaw ko muna mag social media ?? daming nag aaway. Mas mabuti pa po siguro kung respetohin na lang yung desisyon ng isang tao kung sino yung gusto nila ??,non-suicide,It's like I don't want to do social media first?? a lot of people are fighting. Maybe it's better to just respect a person's decision of who they want??
567,“init ng selpon mo” mas mainit uIo ko,possible suicidal post,"""Your cell phone is hot"" I said even hotter"
568,"— Hindi tayo pare pareho ng pahinga, dahil hindi naman tayo pare pareho ng pagod.",possible suicidal post,"— Rest is not the same for us, because we are not the same for tiredness."
569,"ibang klase, gumagaya sa trauma na bigay ng ibang tao",possible suicidal post,"another kind, mimicking the trauma inflicted by another person"
570,puro kamalasan nalang,possible suicidal post,it's just bad luck
571,Ano na nangyayari sa buhay,possible suicidal post,What happens in life
572,You know Id fight for you But how can I fight someone who isnt even there? Ive had the rest of you Now I want the best of you I dont care if thats not fair ??,non-suicide,You know Id fight for you But how can I fight someone who isnt even there? Ive had the rest of you Now I want the best of you I dont care if thats not fair ??
573,What if I told you I like you ? ??,non-suicide,What if I told you I like you ? ??
574,Why naman ganon ?? wala na nag overthink nanaman ako,non-suicide,Why is that?? I don't overthink anymore
575,Hindi lang daw nya natiis ?? chance na daw kasi nya yun after 2 years ????,non-suicide,He said he just couldn't stand it?? He said it was his chance after 2 years????
576,Klasik,non-suicide,Classical
577,hirap ng ganto,possible suicidal post,it's hard as hell
578,pagod buong araw,possible suicidal post,tired all day
579,"I cant keep going like this anymore, everything feels pointless.",possible suicidal post,"I cant keep going like this anymore, everything feels pointless."
580,I feel so alone and cant see a way out of this pain,possible suicidal post,I feel so alone and cant see a way out of this pain
581,This weight on my chest feels unbearable,possible suicidal post,This weight on my chest feels unbearable
582,Singsing na bigay sakin nung 3 years old ako ngayon ibibigay kuna sa bunso naming 3 years old din ?? imagine 18 years na ang nakalipas pero ingat na ingat kita ?? sana ingatan ka din ni ading ko,non-suicide,The ring that was given to me when I was 3 years old will now be given to our youngest who is also 3 years old?? imagine it's been 18 years but I'm very careful about you ?? I hope my brother will take care of you too
583,Hay buhay,non-suicide,Hey life
584,Worth it ba na bumuli ng bagong phone ??,non-suicide,Is it worth buying a new phone??
585,Scam yung quiz namin sabi madali yung 20 items hahahaha parang papunta ng final exam yun eh haha,non-suicide,"Our quiz is a scam, they say the 20 items are easy hahahaha, it's like going to the final exam hahaha"
586,20 items pero ang dami ng slides hahaha,non-suicide,20 items but the number of slides hahaha
587,Tanga ko,possible suicidal post,Tanga is
588,insanity ??,possible suicidal post,insanity ??
589,"Ang bigat na nga ,inaantok pa habang naglalaro hays??",possible suicidal post,"It's so heavy, I'm still sleepy while playing hays??"
590,Kayo na po bahala Kung saan to mapupunta .,possible suicidal post,It's up to you where it goes.
591,"Deretsyo ko na ata to sa rooftop ,looking for kasama ??",possible suicidal post,"I'm going straight to the rooftop, looking for a partner??"
592,Hiyang hiya ako aninger,non-suicide,I'm shy aninger
593,Mag request na daw ako TOR ??,non-suicide,Should I request TOR??
594,Bakit sobrang minamadali ako ng lahat na taposin yung passport ??,non-suicide,Why is everyone rushing me to finish the passport??
595,Pang padagdag na motivation Yun.  Mga negative sa paligid ??,non-suicide,That's additional motivation.  Negatives around??
596,Shetss pahilotss sana,non-suicide,Shetss pahilotss
597,"Ang lungkot tignan nung isang map ng teapot ko sa genshin, inayos ko dati nung birthday ko para magmukhang may kasama ako HAHAHAHAHAH",possible suicidal post,"It's sad to see a map of my teapot in genshin, I used to fix it on my birthday to make it look like I was with someone HAHAHAHAH"
598,Di ako kumportable ngayon di ako makatulog,possible suicidal post,I'm not comfortable now I can't sleep
599,I always give up on something I always do,possible suicidal post,I always give up on something I always do
600,Somethings stressing me out and I dont know what,possible suicidal post,Somethings stressing me out and I dont know what
601,"No reason, I want to die.",possible suicidal post,"No reason, I want to die."
602,Sira na cp ??,non-suicide,broken cp ??
603,Sobrang init putik haha,non-suicide,Very hot mud haha
604,Shet!Ang pangit ng bungad bat Ganon??,non-suicide,Shet! How ugly is that hole??
605,May Banda pala sa prmsu mamayang gabi ??,non-suicide,There's a band at prmsu tonight??
606,Laki naman ng tibs ko swerte ??,non-suicide,"Is it the size of my tibs, luck??"
607,gusto niyo ba makakita ng barcode sa kamay,possible suicidal post,do you want to see a barcode on the hand?
608,"you say you know me but still continue to ruin me, nice huh",possible suicidal post,"you say you know me but still continue to ruin me, nice huh"
609,akala ko ba hindi na iiyak ng ganon ulit,possible suicidal post,I thought I would never cry like that again
610,how fucking unreal to be in a situation like this again,possible suicidal post,how fucking unreal to be in a situation like this again
611,I don’t have the motivation to eat,possible suicidal post,I don’t have the motivation to eat
612,Buti pahinga Hanggang biyernes ??,non-suicide,Good rest until friday ??
613,"Nu oras nanaman nakatulog kagabi ,inabutan na Kami ng mga nagpe-prepare ng breakfast hahaha",non-suicide,"By the time we fell asleep last night, those who were preparing breakfast had overtaken us hahaha"
614,Raming experience sa tour pati sa resort sayaa!!!??,non-suicide,Lots of experience in the tour as well as in the resort fun!!!??
615,Nagbayag met ti bus,non-suicide,The bus also took a long time
616,May instructor nalang Sana ako sa pagwo-workout ko para ganahan ????,non-suicide,I wish I had an instructor during my workout so I could enjoy it????
617,aalis na ako sa mundong ibabaw,possible suicidal post,I'm leaving the world
618,sayang hindi pa masagasaan,possible suicidal post,too bad it hasn't been run over yet
619,sarap uminom ng asido,possible suicidal post,it's good to drink acid
620,barilan tayo para matapos na,possible suicidal post,shoot us to finish
621,kailangan makakalaya sa kalungkotan,possible suicidal post,need to be freed from sadness
622,Lakas ng ulan???,non-suicide,rain force???
623,Opmat tlagaa sila tita saakin shemay??,non-suicide,Opmat tlagaa they are my aunt shemay??
624,Sakit ng lalamunan ko shetts,non-suicide,My throat hurts shetts
625,Sana gumaling naa??,non-suicide,I hope it gets better??
626,Sana may maisagot bukas ??,non-suicide,Hope someone can answer tomorrow ??
627,walang katapusang ayoko na,possible suicidal post,I don't want it forever
628,Need some freedom,possible suicidal post,Need some freedom
629,Awat na self,possible suicidal post,Love is self
630,Want to leave the Philippines for mental health,possible suicidal post,Want to leave the Philippines for mental health
631,Pagod na mag aral sa pmrsu,possible suicidal post,Tired of studying at pmrsu
632,Wala ng powers Buti marami daw foods mamaya ????,non-suicide,There are no powers. It's good that there will be many foods later????
633,"Thankyouu my  ,next time ulitss ????",non-suicide,"Thankyouu my  ,next time ulitss ????"
634,"Sulit Yung sabino ,busog parin Hanggang ngayon .",non-suicide,"The sabino is worth it, still full until now."
635,"Natulog lang si , pwede na i-open Yung messenger at fb hahaha",non-suicide,"He just slept, you can open the messenger and fb hahaha"
636,Shetss paano na ito,non-suicide,Shets how is it?
637,Nawa itong sacrifice na ginagawa ko ngayon at mag bunga sa tamang pras ??????,possible suicidal post,May this sacrifice that I am making now bear fruit in the right way ??????
638,Para akong naubusan ng energy haha,possible suicidal post,It's like I ran out of energy haha
639,"stuck between idk, idc and idgaf.",possible suicidal post,"stuck between idk, idc and idgaf."
640,"im at my lowest, again.",possible suicidal post,"im at my lowest, again."
641,Sad era…,possible suicidal post,Sad era…
642,Apay kasdiyay,non-suicide,It's okay
643,GOODLUCK COE-CAS??????,non-suicide,GOODLUCK COE-CAS??????
644,Wag ng online laban nalng sa totoong pool g?,non-suicide,Don't play against real pool online?
645,Happy Valentines Day Everyone!,non-suicide,Happy Valentines Day Everyone!
646,Hirap pag walang laptop ??,non-suicide,Difficult without a laptop??
647,Ayos buhay ah gusto na makita si lord,possible suicidal post,"Life is fine, I want to see the lord"
648,Can’t sleep mentally unstable,possible suicidal post,Can’t sleep mentally unstable
649,Gusto ko mapag isa ngayun,possible suicidal post,I want to be alone now
650,Bakit ako na lang lagi nasisi ayaw ko na,possible suicidal post,Why am I always blamed? I don't want to
651,Gusto ko na lang ma reincarnate,possible suicidal post,I just want to be reincarnated
652,Sana mabilis lang bukas ??,non-suicide,I hope tomorrow will be fast ??
653,Pagbutihin pa natinn,non-suicide,Fear of natinn
654,Papasok o papasok???,non-suicide,In or out???
655,Napagkamalan pang player ng baseball ??,non-suicide,Been mistaken for a baseball player??
656,See you ibaa??,non-suicide,See you ibaa??
657,Kailan kaya ma stress free,possible suicidal post,When will it be stress free?
658,I thought your the one for me,possible suicidal post,I thought your the one for me
659,Stress na stress na sa lahat ng bagay,possible suicidal post,Stress is stress in everything
660,Give me a sign to continue living,possible suicidal post,Give me a sign to continue living
661,The world is really cruel,possible suicidal post,The world is really cruel
662,Bannogs guys,non-suicide,Bannogs guys
663,Kailangan e,non-suicide,It's necessary
664,Labas ulit kasbuu,non-suicide,Out again kasbuu
665,All for one Yung charger a??,non-suicide,All for one Yung charger a??
666,Tama naman pero lapit na Yung time kunting taon nalng .,non-suicide,"That's right, but the time is almost a few years old."
667,i need a break from my own thoughts,possible suicidal post,i need a break from my own thoughts
668,too much on my mind but nothing to say,possible suicidal post,too much on my mind but nothing to say
669,no regrets because i know my heart was pure,possible suicidal post,no regrets because i know my heart was pure
670,missing my favorite person rn,possible suicidal post,missing my favorite person rn
671,can someone please be proud of me like fuck i’m trying,possible suicidal post,can someone please be proud of me like fuck i’m trying
672,Busy busy na hayss??,non-suicide,Busy busy hayss??
673,Lowbat na katawan ko ??,non-suicide,My lowbat body ??
674,Punyawa bilis oras??,non-suicide,Punyawa speed time??
675,Nakaraos din sa katamaran??,non-suicide,Suffering from laziness too??
676,Rami oat tunubigat,non-suicide,Rami oat tunubigat
677,"life update: mamamatay na. sabi mag rereview ako eh, ang hirap naman bumangon",possible suicidal post,"life update: about to die. I said I'll review it, it's hard to get up"
678,"pag tropa tropa lang ha, iver. iba tirada mo saksakin kita diyan",possible suicidal post,"troop is just troop, iver. I'm going to stab you there"
679,bakit parang mas madali pang mag-express ng galit at inis kaysa sa affection at sweet sides,possible suicidal post,why does it seem easier to express anger and annoyance than affection and sweet sides
680,Dropout na ata for mental health,possible suicidal post,Dropout na ata for mental health
681,Hair loss sa stress,possible suicidal post,Hair loss sa stress
682,Disiplina talaga sa Sarili kulang hays,non-suicide,Self-discipline is really lacking
683,Bartek dan hahahahaha,non-suicide,Bartek and hahahahaha
684,Halo -halo met gamin ??,non-suicide,Hello - hello met gamin ??
685,Pambawi sa score Yung finals project Ang Rami ??,non-suicide,Make up for the score The finals project Ang Rami ??
686,"Yung nagrereport ka tas biglang nalowbat laptop mo ,lala pare ????",non-suicide,"When you were reporting, your laptop suddenly crashed, dude????"
687,Paano ilabas yung galit sa mundo,possible suicidal post,How to release the anger in the world
688,12:00pm mental breakdown mamaya,possible suicidal post,12:00pm mental breakdown later
689,May pagasa pa kaya mag patuloy sa life,possible suicidal post,There is still hope to continue in life
690,Hayssss what’s happening to me,possible suicidal post,Hayssss what’s happening to me
691,No budget for mental health therapy hehehe,possible suicidal post,No budget for mental health therapy hehehe
692,Sana maalala lahat bukas Yung na review ko ngayon ????,non-suicide,I hope everyone remembers what I reviewed today????
693,Ready na bukas ????,non-suicide,Ready tomorrow????
694,Makasisig nga bukas hmm,non-suicide,Tomorrow will be exciting hmm
695,"Galingan natin bukas ,kumpleto daw sila e ????",non-suicide,"We'll come back tomorrow, they're supposed to be complete right????"
696,"Shett bannog , gabi naman Kasi naglaro ??",non-suicide,"Shett bannog, it's night because you played??"
697,"sakit puson kooo, gusto ko na mamatay",possible suicidal post,"My heart hurts, I want to die"
698,"instead of telling you how i feel, i tweet.",possible suicidal post,"instead of telling you how i feel, i tweet."
699,I automatically go silent when I hear something that hurt my feelings.,possible suicidal post,I automatically go silent when I hear something that hurt my feelings.
700,all i want is mental peace.,possible suicidal post,all i want is mental peace.
701,my mental health is absolutely testing me again.,possible suicidal post,my mental health is absolutely testing me again.
702,"Lesson learned putik haha ??,",non-suicide,"Lesson learned putik haha ??,"
703,Sana makatakbo mamaya ??,non-suicide,Hope to run later ??
704,Taas ng dot mo  ??,non-suicide,height of your dot ??
705,Buti nalang nagopen ulit ako ??,non-suicide,It's good that I opened again??
706,Sablay sablay ah pati ako nadamay ??,non-suicide,I feel sorry too??
707,Pinagpalit ako sa malapit,possible suicidal post,I was changed nearby
708,Hehehehe pa give up na sa sarili,possible suicidal post,"Hehehehe, give up on yourself"
709,Ewan ko ba bakit ako pinapahirapan lagi,possible suicidal post,I don't know why I'm always being tortured
710,The bleed won’t stop,possible suicidal post,The bleed won’t stop
711,Yosi/alak need ko sa life para hindi mag give up,possible suicidal post,Yosi/alak I need in life so I don't give up
712,Sana magising bukas ??,non-suicide,Hope to wake up tomorrow ??
713,"Lapit na pasukan nanaman, gala mode muna hmm",non-suicide,"Entrance is near, gala mode first hmm"
714,Bawi kasbuu ??,non-suicide,Bawi won??
715,Soon inang Ako bahala sayo sa lahat????,non-suicide,Soon mother I will take care of everything for you????
716,Nakulo nanaman tiyan hays??,non-suicide,Boiled stomach hays??
717,"Hirap naman mabuhay ngayon, gusto ko nalang mawala",possible suicidal post,"It's hard to live now, I just want to disappear"
718,just want to disappear forever,possible suicidal post,just want to disappear forever
719,living is so hard especially with this gen and govt,possible suicidal post,living is so hard especially with this gen and govt
720,so exhausted in life,possible suicidal post,so exhausted in life
721,people tweet because no one listens.,possible suicidal post,people tweet because no one listens.
722,Saya ko nanaman HAHAHA,non-suicide,I'm happy HAHAHA
723,Rscon ulit hayss kamiss namans,non-suicide,Rscon again hayss kamiss namans
724,I WILL PASS MY MIDTERM EXAM.,non-suicide,I WILL PASS MY MIDTERM EXAM.
725,Partak met ti orasen,non-suicide,The time is also fast
726,"Kala ko Hanggang bukas nalng pasok , pati pala sat. Meron praktis.",non-suicide,"My time Until tomorrow is school, by the way. There is practice."
727,di na ako papasok tangina niyong lahat,possible suicidal post,"I'm not going to come in, everyone"
728,"and when I get back up, you dont deserve to be in my life",possible suicidal post,"and when I get back up, you dont deserve to be in my life"
729,when will this fucked up situation with my family go?,possible suicidal post,when will this fucked up situation with my family go?
730,fucked up life,possible suicidal post,fucked up life
731,"akala ko pag college kain, tulog, at aral lang pero ngayon Im mentally, physically, emotionally, and financially exhausted",possible suicidal post,"I thought in college I would only eat, sleep, and study but now Im mentally, physically, emotionally, and financially exhausted"
732,Ilang araw nalang Rscon ??,non-suicide,How many days Rscon??
733,Bilis ng araw shet??,non-suicide,Speed ​​of the sun shet??
734,Goodluck sa mga magtatryout galingan niyo??,non-suicide,Good luck to those who will tryout from where you come from??
735,Saan Kaya pwede kumain?hmm,non-suicide,Where can we eat? hmm
736,Papunta na sa exciting part naging bato pa??,non-suicide,Going to the exciting part turned into a rock??
737,Minor na feeling major ??,non-suicide,Minor na feeling major ??
738,My emotions are heavy,possible suicidal post,My emotions are heavy
739,Magiging okay din ako,possible suicidal post,I'll be okay too
740,Grabee yung ginawa mo anlala!!!!,possible suicidal post,"What you did is terrible, anlala!!!!"
741,Pinaasa mo ako!,possible suicidal post,You made me hope!
742,Hindi ko alam gagawin ko pag iniwan mo ako:(,possible suicidal post,I don't know what I'll do if you leave me :(
743,Bawi ng Kain bukas ??,non-suicide,Take back food tomorrow ??
744,"Oy nagiimprove ,ganda ng result ??",non-suicide,"Oy is improving, the result is good??"
745,Kita ko nanaman pong -a ??,non-suicide,Can I see you??
746,Nabigla ako Doon lods??,non-suicide,I'm shocked there lods??
747,??The special offer package has now been moved to the purchase page  #usdt #playtoearn #bitcoin #nft #NFTs #crypto #blockchain #cryptocurrency #makemoneyonline,non-suicide,??The special offer package has now been moved to the purchase page  #usdt #playtoearn #bitcoin #nft #NFTs #crypto #blockchain #cryptocurrency #makemoneyonline
748,don’t keep your emotions bottled up,possible suicidal post,don’t keep your emotions bottled up
749,lil guy has a lot to say,possible suicidal post,lil guy has a lot to say
750,"yaw ko talaga nananaginip ng barilan, paggising ko pagod pa rin ako ??",possible suicidal post,"I really dreamed of being shot, when I woke up I was still tired??"
751,sana di ako gisingin ng maaga bukas. gusto ko ng mahabang sleeeeeeeeee33333ppp :|,possible suicidal post,I hope I don't wake up early tomorrow. i want long sleeeeeeeeee33333ppp :|
752,my brain is not braining.,possible suicidal post,my brain is not braining.
753,Alam ko na sa susunod ??,non-suicide,I know next time ??
754,"Nakakawalan ng pagod congrats niyo guys  , Thankyou po ????",non-suicide,"Relieves fatigue, congrats guys, thank you ????"
755,Naeexcite na ako magbigay si sir ng grades huhu ??,non-suicide,I'm excited sir to give grades huh??
756,Ganda talaga ng mga boyish pumorma hmm,non-suicide,The boyish forms are really nice hmm
757,Sana passed napoo ??,non-suicide,I hope the sun passed??
758,Im sad and at the same time relieved that I cant this time,possible suicidal post,Im sad and at the same time relieved that I cant this time
759,"Escape is the only option, very RL",possible suicidal post,"Escape is the only option, very RL"
760,Why are Saturdays always like this ??,possible suicidal post,Why are Saturdays always like this ??
761,I always chicken out right at the very moment,possible suicidal post,I always chicken out right at the very moment
762,If only Ive been less or youve been more,possible suicidal post,If only Ive been less or youve been more
763,"Rami pag-galaan bukas tapos na Yung review days ,wal -wal days naman lets g!!!!!",non-suicide,"Rami pagalan tomorrow is over The review days, wal-wal days let's go!!!!!"
764,Kakayanin to bukas tiwala lang ???,non-suicide,"I can do it tomorrow, just trust me???"
765,Putik bat Ang liit naman hahaha??,non-suicide,Is it mud It's small hahaha??
766,Hirap pag late ka tlaaga pumasok hmm,non-suicide,"It's hard to come in when you're late, hmm"
767,Ramii ng topics ??,non-suicide,How many topics??
768,stress sa school,possible suicidal post,school stress
769,stressed,possible suicidal post,stressed
770,trusting people is getting harder,possible suicidal post,trusting people is getting harder
771,I dont want to live anymore,possible suicidal post,I dont want to live anymore
772,die now,possible suicidal post,die now
773,Pawis sabay Aircon nanaman ??,non-suicide,Sweating with Aircon??
774,Nicee one Ong dapat nakahalata kana una palang,non-suicide,Nice one Ong should have noticed that first
775,G na to guyss last na!,non-suicide,G is to guyss last!
776,"Wag Sana tumuloy , nasa stage na ako ng tumataba ako ,wag po Sana sa stage na papayat ulit hmm??",non-suicide,"Don't hope to continue, I'm already in the stage of gaining weight, don't hope to be in the stage of losing weight again hmm??"
777,Diko na ata Erik shett??,non-suicide,Where is Erik Shett??
778,"Students sa umaga, stress sa gabi",possible suicidal post,"Students in the morning, stress at night"
779,Being rude to release some problems on my life,possible suicidal post,Being rude to release some problems on my life
780,tumatamlay na naman pagkatao ko,possible suicidal post,my personality is sluggish again
781,oa na ba ako kung sasabihin kong nasasaktan talaga ako ngayon,possible suicidal post,Am I right if I say that I'm really hurt right now?
782,"“nakakahiya ka” putangina ate tumagos sa puso yon, wtf february???",possible suicidal post,"""you're embarrassing"" pussy penetrated that heart, wtf february???"
783,Nararadar ko na may just in to bukas ??,non-suicide,I sense that there is a just in tomorrow??
784,Goodluck saamin bukas Sana makahula ????,non-suicide,Good luck tomorrow I hope you can guess????
785,Makapasa lang sa midyear ok naa ????,non-suicide,Just pass the midyear ok naa ????
786,Loko Loko tlagaa tong na to??,non-suicide,Loko Loko tlagaa tong na to??
787,"Tama na munaa , bahala na",non-suicide,"Tama na munaa , bahala na"
788,never ko man lang naranasang maging comfortable sa bahay na to haha,possible suicidal post,I've never even experienced being comfortable in this house haha
789,huhu nawawalan na naman me ng gana sa lahat ng bagay,possible suicidal post,I'm losing my appetite for everything again
790,Minsan lamg lumabas yung tao pero napakabigdeal sa inyo.,possible suicidal post,"The person only came out sometimes, but it was a big deal to you."
791,just wanna sleep without academic stress,possible suicidal post,just wanna sleep without academic stress
792,laging naka kontra pero dahil tuloy naman edi sige pota na yan,possible suicidal post,always against but that's because it's okay
793,Sarap buhay siguro mga nagoojt hmm,non-suicide,"Maybe life is good, nagoojt hmm"
794,Parami ng parami formula nakooo,non-suicide,More and more formula nakoo
795,Nakaconnect din sa wifi ng EE ??,non-suicide,Also connected to EE wifi ??
796,Start na bukas ??,non-suicide,Starts tomorrow??
797,Sana magising bukas sa alarm,non-suicide,Hope to wake up tomorrow to the alarm
798,It really hurts,possible suicidal post,It really hurts
799,Your word’s are like weapon,possible suicidal post,Your word’s are like weapon
800,Breakdown saglit,possible suicidal post,Breakdown for a moment
801,50/50 to continue,possible suicidal post,50/50 to continue
802,Hit the gym to release the anger,possible suicidal post,Hit the gym to release the anger
803,Outing na kaya mga BSEE hmm din ako makakasama sainyoo??,non-suicide,"BSEEs are already outing, hmm can I join you too??"
804,Nakopoo tagal ng bus!!,non-suicide,Nakopo for a long time on the bus!!
805,Gala mode Hanggang linggo ??,non-suicide,Gala mode Until the week ??
806,Umay ayaw magcharge !,non-suicide,Umay doesn't want to charge!
807,Pahinga munaa ??,non-suicide,Where are you??
808,so ayon got my first 2.5 sa activity ?? BAKIT BA DI AKO ARTISTIC TANGINA,possible suicidal post,so Ayon got my first 2.5 in the activity?? WHY AM I NOT ARTISTIC TANGINA?
809,"Sana yung pakikisama ko sa ibang tao, ganon din yung pakikisama sa akin. Sana yung respeto na binibigay ko, ganon din yung bumabalik. Alam kong di mag-aadjust mundo sa akin pero tangina nakakaubos ng pasensya. Nakakabastos.",possible suicidal post,"I hope that the way I spend time with other people is the same as spending time with me. I hope that the respect that I give, is the same that comes back. I know the world won't adjust to me, but it just takes patience. It's rude."
810,what to do when people always break your trust????,possible suicidal post,what to do when people always break your trust????
811,So di ako gagawa ng homework kasi naniniwala akong masususpend.,possible suicidal post,So I won't do homework because I believe I will be suspended.
812,Life is about taking risks.,possible suicidal post,Life is about taking risks.
813,Sakit sa Mata ng ilaw hmm,non-suicide,Eye pain from light hmm
814,Sana bukas na Yung laban ?????,non-suicide,I hope the match is tomorrow?????
815,Sana mapaaga pasok mamaya ??,non-suicide,I hope to be able to go to school later??
816,TikTok yernss kulang nalang ako kasama eh haha,non-suicide,TikTok yernss I just don't have enough friends haha
817,Na last card pa bru,non-suicide,It's still the last card bru
818,Alak na lang para makatulog sa stress na buhay,possible suicidal post,Just drink to sleep from the stressful life
819,Liquor is my medicine,possible suicidal post,Liquor is my medicine
820,Hahanapin niyo din ako balang araw,possible suicidal post,You will also find me one day
821,I wish in my other life i’m mentally stable,possible suicidal post,I wish in my other life i’m mentally stable
822,Mindset right want to give up,possible suicidal post,Mindset right want to give up
823,????????,non-suicide,
824,Shettss spiderman 2 cd game Sana gandaa!!!,non-suicide,Shettss spiderman 2 cd game That village!!!
825,Di ata tuloy jogging ah,non-suicide,It's not jogging
826,Usto ko na magwork hmm,non-suicide,I'd like to work hmm
827,i feel like cleaning up my room but its half apst 11pm,possible suicidal post,i feel like cleaning up my room but its half apst 11pm
828,rlly hate how sensitive i am,possible suicidal post,rlly hate how sensitive i am
829,sharp,possible suicidal post,sharp
830,"hayop na mood kasi to, di mo matell",possible suicidal post,"because it's an animal's mood, you can't tell"
831,ano ba namang tanginang mood to,possible suicidal post,what kind of mood is that?
832,Lets goo BLACK TEAM!????,non-suicide,Lets goo BLACK TEAM!????
833,papasok na talaga ako simula bukas Hanggang sabado ??,non-suicide,I'm really coming in from tomorrow until saturday??
834,Buti nalng may event kami now .?,non-suicide,It's good that we have an event now.?
835,Kuya gilboy bawii kayang kaya Yan sa 2nd take padayon future engr.!!????,non-suicide,Kuya gilboy can you take back that in the 2nd take and continue future engr.!!????
836,Nakulog na tiyann ??,non-suicide,Nakulog is there ??
837,I don’t want to talk to anybody,possible suicidal post,I don’t want to talk to anybody
838,Fck this world i’m out,possible suicidal post,Fck this world i’m out
839,Bakit ako na lang lagi nahihirapan malapit na mag give up,possible suicidal post,Why am I always struggling and almost giving up?
840,120km speed sa motor kanina solid tangal stress/ Throttle therapy,possible suicidal post,120km speed on the motor earlier solid tangal stress/ Throttle therapy
841,Ayaw ko na sa world,possible suicidal post,I don't want the world anymore
842,My bad,non-suicide,My bad
843,Tulog ko nalng Ito antok na ako ??,non-suicide,"I went to sleep, am I already sleepy??"
844,Sana gumaling na agad ????,non-suicide,I hope you get well soon????
845,Ibabawi Kita sa Liga pagchampionin namin ??,non-suicide,I'll take you back to the League when we win the championship??
846,"Wala na Yung teammate mo ,Wala nayung taga box out mo Rami nagsasabi saakin ah hmm??",non-suicide,"Your teammate is gone, there is no one to box you out Rami is telling me ah hmm??"
847,Tired sa world,possible suicidal post,Tired of the world
848,Lord sunduin mo na ako,possible suicidal post,Lord pick me up
849,Sometimes hurting myself to release my problems,possible suicidal post,Sometimes hurting myself to release my problems
850,Financially unstable/mentally unstable,possible suicidal post,Financially unstable/mentally unstable
851,Hirap pag sabayin school at work kapahod na,possible suicidal post,It's hard to juggle school and work at the same time
852,Lowbat na brain ??,non-suicide,Lowbat brain??
853,Lakas ng dot moo,non-suicide,Power of dot moo
854,Grave naman uwi ko patulog na sila hmm,non-suicide,"Seriously, I'm going home and they're going to bed hmm"
855,Nasasanay ko na wordings hmm??,non-suicide,I'm getting used to wordings hmm??
856,Happy nila dito ah tawa ng tawa ??,non-suicide,"They are happy here, laughing so much??"
857,Kala ko ako lang para sayo,possible suicidal post,I'm the only one for you
858,Crying right now,possible suicidal post,Crying right now
859,Need someone to appreciate me,possible suicidal post,Need someone to appreciate me
860,5% giving on life,possible suicidal post,5% giving on life
861,Need to work on my life,possible suicidal post,Need to work on my life
862,Grind lang ng grind !,non-suicide,Just grind grind!
863,Abot pala Dito Yung wifi sa brgy ??,non-suicide,Does the wifi reach here in the brgy??
864,Umay sa 500 muntik pa mawala ??,non-suicide,Umay at 500 almost lost??
865,Solid ng hilot 1 hr. Mahigit,non-suicide,Midwife solid 1 hr. More
866,Rami tweet ni forehead,non-suicide,Rami tweet ni forehead
867,Wala ng energy 2/8??,possible suicidal post,No energy 2/8??
868,Wrong decision ??,possible suicidal post,Wrong decision ??
869,I want car accident and death.,possible suicidal post,I want car accident and death.
870,"I want car accident, coma and memory loss.",possible suicidal post,"I want car accident, coma and memory loss."
871,tangina wala pa kong report HAHAHAHAHA ANUNA,possible suicidal post,but I don't have a report yet HAHAHAHAHA ANUNA
872,Gawin ko ulit Yung dati bahala na,non-suicide,I'll do it again. It's up to you
873,Nagpapicture saamin Yung ebdanes ladies ??,non-suicide,The ebdanes ladies took pictures with us??
874,Sana makahula mamaya ??,non-suicide,Hope to guess later ??
875,Pirma tas uwi kaagad ??,non-suicide,Signature bag go home right away ??
876,50/50 pa mamaya huhu,non-suicide,50/50 later huhu
877,miss ko na frennies ko,possible suicidal post,I miss my frennies
878,haha hindi daw ba ako nahihiya mag post ng sexy pics sabi nong pinaka ate sa room namin? HAAA? HAAAAA????,possible suicidal post,haha I'm not ashamed to post sexy pics said the sister in our room? HAHA? HAAAAA????
879,i feel lost inside myself,possible suicidal post,i feel lost inside myself
880,energy siz ack????,possible suicidal post,energy siz ack????
881,To many projects want to give up,possible suicidal post,To many projects want to give up
882,See you ulit kasbuu guys,non-suicide,See you again kasbuu guys
883,Perfect timing sa pagpasok ??,non-suicide,Perfect timing to enter??
884,Ok lang ba Yung tinatago Yung kilig hm hahaha solve na araw ko ngayon thanks idol,non-suicide,Is it ok to hide the thrill hm hahaha today is my day to solve thanks idol
885,Nanuod ba naman na butas Yung short ??,non-suicide,Did you see a hole in the short??
886,Putik na paa to pasmado??,non-suicide,Are you covered in mud??
887,mamatay din naman tayong lahat,possible suicidal post,we will all die too
888,"nakakastress, gusto ko nalang umakyat na",possible suicidal post,"it's stressful, I just want to go upstairs"
889,ayaw ko na talaga ,possible suicidal post,I really don't want to
890,Eyebags ko kakaiyak mabigat na,possible suicidal post,My eyelids are so heavy
891,Always compared to others,possible suicidal post,Always compared to others
