"text","label"
"Grabe nag linis ako kwarto tapos hindi ako nakuntento pati buong bahay nalinis ko tapos nakita ko yung laundry nilabhan kuna din ngayon pagpd na pagod ako yawa ??","non-suicide"
"introvert","non-suicide"
"from the bottom of my heart i’m tired","non-suicide"
"Tired ??","non-suicide"
"Potek may namimiss ako.","non-suicide"
"ang hirap naman makipagkompetensya sa dating ako, academic achiever yun e","possible suicidal post"
"awit na birthday ito ??","possible suicidal post"
"bat pa ako yung sinaktan","possible suicidal post"
"never na akong magiging positive","possible suicidal post"
"kala nyo masaya ako sobrang lungkot ko ngayon","possible suicidal post"
"216.3 km away from you ??","non-suicide"
"Pag naging sure ka sa akin, ipakita mo sakin para alam ko hindi yung nag tatagoan ??","non-suicide"
"For the dami ng mga nag seen ha","non-suicide"
"Uuwi me latur tapos balik din ako bukas para marami pa kaming time mag kakasama ng mga friends ko??","non-suicide"
"Hera ??","non-suicide"
"yan na kumakatok na naman si breakdown","possible suicidal post"
"new month, new suffering","possible suicidal post"
"people not knowing how to use words with -ed?????","possible suicidal post"
"parang ang illegal ipakita ng soft side mo kapag people around you knows you as “masungit and madaling mairita” typa","possible suicidal post"
"breaking down","possible suicidal post"
"Whaaaaaaaa hindi ko mapigilan tignan sya","non-suicide"
"Sobra talaga ang saya ko kanina nung dumating ka ?? ","non-suicide"
"Nakakapanibago","non-suicide"
"Sleep ng maaga may duty bukas","non-suicide"
"Gusto kuna mag saturday ??","non-suicide"
"Gagi super saya ko nung binilhan nya ko ng spag sa jollibee para akong bata na ewan haha ??","non-suicide"
"sarap tumalon sa building","possible suicidal post"
"Naging proud ba ako sa sarili ko ngayong taon ?","possible suicidal post"
"Tsaka na po kayo mag bigay ng mag bigay ng comment sa ibang tao pag meron na din kayong ambag sa buhay nila hahahahaha.","possible suicidal post"
"Paano kasi matatapos yun hindi lahat makuntento hahaha??","possible suicidal post"
"Ano pa nga ba sympre ako ulit mag aadjust ??","possible suicidal post"
"Awit sa wampayb","non-suicide"
"Thank you luts","non-suicide"
"Hindi ako natuwa sa national id ko","non-suicide"
"Awit naman kase","non-suicide"
"Parang ayaw ko muna mag social media ?? daming nag aaway. Mas mabuti pa po siguro kung respetohin na lang yung desisyon ng isang tao kung sino yung gusto nila ??","non-suicide"
"“init ng selpon mo” mas mainit uIo ko","possible suicidal post"
"— Hindi tayo pare pareho ng pahinga, dahil hindi naman tayo pare pareho ng pagod.","possible suicidal post"
"ibang klase, gumagaya sa trauma na bigay ng ibang tao","possible suicidal post"
"puro kamalasan nalang","possible suicidal post"
"Ano na nangyayari sa buhay","possible suicidal post"
"You know Id fight for you But how can I fight someone who isnt even there? Ive had the rest of you Now I want the best of you I dont care if thats not fair ??","non-suicide"
"What if I told you I like you ? ??","non-suicide"
"Why naman ganon ?? wala na nag overthink nanaman ako","non-suicide"
"Hindi lang daw nya natiis ?? chance na daw kasi nya yun after 2 years ????","non-suicide"
"Klasik","non-suicide"
"hirap ng ganto","possible suicidal post"
"pagod buong araw","possible suicidal post"
"I cant keep going like this anymore, everything feels pointless.","possible suicidal post"
"I feel so alone and cant see a way out of this pain","possible suicidal post"
"This weight on my chest feels unbearable","possible suicidal post"
"Singsing na bigay sakin nung 3 years old ako ngayon ibibigay kuna sa bunso naming 3 years old din ?? imagine 18 years na ang nakalipas pero ingat na ingat kita ?? sana ingatan ka din ni ading ko","non-suicide"
"Hay buhay","non-suicide"
"Worth it ba na bumuli ng bagong phone ??","non-suicide"
"Scam yung quiz namin sabi madali yung 20 items hahahaha parang papunta ng final exam yun eh haha","non-suicide"
"20 items pero ang dami ng slides hahaha","non-suicide"
"Tanga ko","possible suicidal post"
"insanity ??","possible suicidal post"
"Ang bigat na nga ,inaantok pa habang naglalaro hays??","possible suicidal post"
"Kayo na po bahala Kung saan to mapupunta .","possible suicidal post"
"Deretsyo ko na ata to sa rooftop ,looking for kasama ??","possible suicidal post"
"Hiyang hiya ako aninger","non-suicide"
"Mag request na daw ako TOR ??","non-suicide"
"Bakit sobrang minamadali ako ng lahat na taposin yung passport ??","non-suicide"
"Pang padagdag na motivation Yun.  Mga negative sa paligid ??","non-suicide"
"Shetss pahilotss sana","non-suicide"
"Ang lungkot tignan nung isang map ng teapot ko sa genshin, inayos ko dati nung birthday ko para magmukhang may kasama ako HAHAHAHAHAH","possible suicidal post"
"Di ako kumportable ngayon di ako makatulog","possible suicidal post"
"I always give up on something I always do","possible suicidal post"
"Somethings stressing me out and I dont know what","possible suicidal post"
"No reason, I want to die.","possible suicidal post"
"Sira na cp ??","non-suicide"
"Sobrang init putik haha","non-suicide"
"Shet!Ang pangit ng bungad bat Ganon??","non-suicide"
"May Banda pala sa prmsu mamayang gabi ??","non-suicide"
"Laki naman ng tibs ko swerte ??","non-suicide"
"gusto niyo ba makakita ng barcode sa kamay","possible suicidal post"
"you say you know me but still continue to ruin me, nice huh","possible suicidal post"
"akala ko ba hindi na iiyak ng ganon ulit","possible suicidal post"
"how fucking unreal to be in a situation like this again","possible suicidal post"
"I don’t have the motivation to eat","possible suicidal post"
"Buti pahinga Hanggang biyernes ??","non-suicide"
"Nu oras nanaman nakatulog kagabi ,inabutan na Kami ng mga nagpe-prepare ng breakfast hahaha","non-suicide"
"Raming experience sa tour pati sa resort sayaa!!!??","non-suicide"
"Nagbayag met ti bus","non-suicide"
"May instructor nalang Sana ako sa pagwo-workout ko para ganahan ????","non-suicide"
"aalis na ako sa mundong ibabaw","possible suicidal post"
"sayang hindi pa masagasaan","possible suicidal post"
"sarap uminom ng asido","possible suicidal post"
"barilan tayo para matapos na","possible suicidal post"
"kailangan makakalaya sa kalungkotan","possible suicidal post"
"Lakas ng ulan???","non-suicide"
"Opmat tlagaa sila tita saakin shemay??","non-suicide"
"Sakit ng lalamunan ko shetts","non-suicide"
"Sana gumaling naa??","non-suicide"
"Sana may maisagot bukas ??","non-suicide"
"walang katapusang ayoko na","possible suicidal post"
"Need some freedom","possible suicidal post"
"Awat na self","possible suicidal post"
"Want to leave the Philippines for mental health","possible suicidal post"
"Pagod na mag aral sa pmrsu","possible suicidal post"
"Wala ng powers Buti marami daw foods mamaya ????","non-suicide"
"Thankyouu my  ,next time ulitss ????","non-suicide"
"Sulit Yung sabino ,busog parin Hanggang ngayon .","non-suicide"
"Natulog lang si , pwede na i-open Yung messenger at fb hahaha","non-suicide"
"Shetss paano na ito","non-suicide"
"Nawa itong sacrifice na ginagawa ko ngayon at mag bunga sa tamang pras ??????","possible suicidal post"
"Para akong naubusan ng energy haha","possible suicidal post"
"stuck between idk, idc and idgaf.","possible suicidal post"
"im at my lowest, again.","possible suicidal post"
"Sad era…","possible suicidal post"
"Apay kasdiyay","non-suicide"
"GOODLUCK COE-CAS??????","non-suicide"
"Wag ng online laban nalng sa totoong pool g?","non-suicide"
"Happy Valentines Day Everyone!","non-suicide"
"Hirap pag walang laptop ??","non-suicide"
"Ayos buhay ah gusto na makita si lord","possible suicidal post"
"Can’t sleep mentally unstable","possible suicidal post"
"Gusto ko mapag isa ngayun","possible suicidal post"
"Bakit ako na lang lagi nasisi ayaw ko na","possible suicidal post"
"Gusto ko na lang ma reincarnate","possible suicidal post"
"Sana mabilis lang bukas ??","non-suicide"
"Pagbutihin pa natinn","non-suicide"
"Papasok o papasok???","non-suicide"
"Napagkamalan pang player ng baseball ??","non-suicide"
"See you ibaa??","non-suicide"
"Kailan kaya ma stress free","possible suicidal post"
"I thought your the one for me","possible suicidal post"
"Stress na stress na sa lahat ng bagay","possible suicidal post"
"Give me a sign to continue living","possible suicidal post"
"The world is really cruel","possible suicidal post"
"Bannogs guys","non-suicide"
"Kailangan e","non-suicide"
"Labas ulit kasbuu","non-suicide"
"All for one Yung charger a??","non-suicide"
"Tama naman pero lapit na Yung time kunting taon nalng .","non-suicide"
"i need a break from my own thoughts","possible suicidal post"
"too much on my mind but nothing to say","possible suicidal post"
"no regrets because i know my heart was pure","possible suicidal post"
"missing my favorite person rn","possible suicidal post"
"can someone please be proud of me like fuck i’m trying","possible suicidal post"
"Busy busy na hayss??","non-suicide"
"Lowbat na katawan ko ??","non-suicide"
"Punyawa bilis oras??","non-suicide"
"Nakaraos din sa katamaran??","non-suicide"
"Rami oat tunubigat","non-suicide"
"life update: mamamatay na. sabi mag rereview ako eh, ang hirap naman bumangon","possible suicidal post"
"pag tropa tropa lang ha, iver. iba tirada mo saksakin kita diyan","possible suicidal post"
"bakit parang mas madali pang mag-express ng galit at inis kaysa sa affection at sweet sides","possible suicidal post"
"Dropout na ata for mental health","possible suicidal post"
"Hair loss sa stress","possible suicidal post"
"Disiplina talaga sa Sarili kulang hays","non-suicide"
"Bartek dan hahahahaha","non-suicide"
"Halo -halo met gamin ??","non-suicide"
"Pambawi sa score Yung finals project Ang Rami ??","non-suicide"
"Yung nagrereport ka tas biglang nalowbat laptop mo ,lala pare ????","non-suicide"
"Paano ilabas yung galit sa mundo","possible suicidal post"
"12:00pm mental breakdown mamaya","possible suicidal post"
"May pagasa pa kaya mag patuloy sa life","possible suicidal post"
"Hayssss what’s happening to me","possible suicidal post"
"No budget for mental health therapy hehehe","possible suicidal post"
"Sana maalala lahat bukas Yung na review ko ngayon ????","non-suicide"
"Ready na bukas ????","non-suicide"
"Makasisig nga bukas hmm","non-suicide"
"Galingan natin bukas ,kumpleto daw sila e ????","non-suicide"
"Shett bannog , gabi naman Kasi naglaro ??","non-suicide"
"sakit puson kooo, gusto ko na mamatay","possible suicidal post"
"instead of telling you how i feel, i tweet.","possible suicidal post"
"I automatically go silent when I hear something that hurt my feelings.","possible suicidal post"
"all i want is mental peace.","possible suicidal post"
"my mental health is absolutely testing me again.","possible suicidal post"
"Lesson learned putik haha ??,","non-suicide"
"Sana makatakbo mamaya ??","non-suicide"
"Taas ng dot mo  ??","non-suicide"
"Buti nalang nagopen ulit ako ??","non-suicide"
"Sablay sablay ah pati ako nadamay ??","non-suicide"
"Pinagpalit ako sa malapit","possible suicidal post"
"Hehehehe pa give up na sa sarili","possible suicidal post"
"Ewan ko ba bakit ako pinapahirapan lagi","possible suicidal post"
"The bleed won’t stop","possible suicidal post"
"Yosi/alak need ko sa life para hindi mag give up","possible suicidal post"
"Sana magising bukas ??","non-suicide"
"Lapit na pasukan nanaman, gala mode muna hmm","non-suicide"
"Bawi kasbuu ??","non-suicide"
"Soon inang Ako bahala sayo sa lahat????","non-suicide"
"Nakulo nanaman tiyan hays??","non-suicide"
"Hirap naman mabuhay ngayon, gusto ko nalang mawala","possible suicidal post"
"just want to disappear forever","possible suicidal post"
"living is so hard especially with this gen and govt","possible suicidal post"
"so exhausted in life","possible suicidal post"
"people tweet because no one listens.","possible suicidal post"
"Saya ko nanaman HAHAHA","non-suicide"
"Rscon ulit hayss kamiss namans","non-suicide"
"I WILL PASS MY MIDTERM EXAM.","non-suicide"
"Partak met ti orasen","non-suicide"
"Kala ko Hanggang bukas nalng pasok , pati pala sat. Meron praktis.","non-suicide"
"di na ako papasok tangina niyong lahat","possible suicidal post"
"and when I get back up, you dont deserve to be in my life","possible suicidal post"
"when will this fucked up situation with my family go?","possible suicidal post"
"fucked up life","possible suicidal post"
"akala ko pag college kain, tulog, at aral lang pero ngayon Im mentally, physically, emotionally, and financially exhausted","possible suicidal post"
"Ilang araw nalang Rscon ??","non-suicide"
"Bilis ng araw shet??","non-suicide"
"Goodluck sa mga magtatryout galingan niyo??","non-suicide"
"Saan Kaya pwede kumain?hmm","non-suicide"
"Papunta na sa exciting part naging bato pa??","non-suicide"
"Minor na feeling major ??","non-suicide"
"My emotions are heavy","possible suicidal post"
"Magiging okay din ako","possible suicidal post"
"Grabee yung ginawa mo anlala!!!!","possible suicidal post"
"Pinaasa mo ako!","possible suicidal post"
"Hindi ko alam gagawin ko pag iniwan mo ako:(","possible suicidal post"
"Bawi ng Kain bukas ??","non-suicide"
"Oy nagiimprove ,ganda ng result ??","non-suicide"
"Kita ko nanaman pong -a ??","non-suicide"
"Nabigla ako Doon lods??","non-suicide"
"??The special offer package has now been moved to the purchase page  #usdt #playtoearn #bitcoin #nft #NFTs #crypto #blockchain #cryptocurrency #makemoneyonline","non-suicide"
"don’t keep your emotions bottled up","possible suicidal post"
"lil guy has a lot to say","possible suicidal post"
"yaw ko talaga nananaginip ng barilan, paggising ko pagod pa rin ako ??","possible suicidal post"
"sana di ako gisingin ng maaga bukas. gusto ko ng mahabang sleeeeeeeeee33333ppp :|","possible suicidal post"
"my brain is not braining.","possible suicidal post"
"Alam ko na sa susunod ??","non-suicide"
"Nakakawalan ng pagod congrats niyo guys  , Thankyou po ????","non-suicide"
"Naeexcite na ako magbigay si sir ng grades huhu ??","non-suicide"
"Ganda talaga ng mga boyish pumorma hmm","non-suicide"
"Sana passed napoo ??","non-suicide"
"Im sad and at the same time relieved that I cant this time","possible suicidal post"
"Escape is the only option, very RL","possible suicidal post"
"Why are Saturdays always like this ??","possible suicidal post"
"I always chicken out right at the very moment","possible suicidal post"
"If only Ive been less or youve been more","possible suicidal post"
"Rami pag-galaan bukas tapos na Yung review days ,wal -wal days naman lets g!!!!!","non-suicide"
"Kakayanin to bukas tiwala lang ???","non-suicide"
"Putik bat Ang liit naman hahaha??","non-suicide"
"Hirap pag late ka tlaaga pumasok hmm","non-suicide"
"Ramii ng topics ??","non-suicide"
"stress sa school","possible suicidal post"
"stressed","possible suicidal post"
"trusting people is getting harder","possible suicidal post"
"I dont want to live anymore","possible suicidal post"
"die now","possible suicidal post"
"Pawis sabay Aircon nanaman ??","non-suicide"
"Nicee one Ong dapat nakahalata kana una palang","non-suicide"
"G na to guyss last na!","non-suicide"
"Wag Sana tumuloy , nasa stage na ako ng tumataba ako ,wag po Sana sa stage na papayat ulit hmm??","non-suicide"
"Diko na ata Erik shett??","non-suicide"
"Students sa umaga, stress sa gabi","possible suicidal post"
"Being rude to release some problems on my life","possible suicidal post"
"tumatamlay na naman pagkatao ko","possible suicidal post"
"oa na ba ako kung sasabihin kong nasasaktan talaga ako ngayon","possible suicidal post"
"“nakakahiya ka” putangina ate tumagos sa puso yon, wtf february???","possible suicidal post"
"Nararadar ko na may just in to bukas ??","non-suicide"
"Goodluck saamin bukas Sana makahula ????","non-suicide"
"Makapasa lang sa midyear ok naa ????","non-suicide"
"Loko Loko tlagaa tong na to??","non-suicide"
"Tama na munaa , bahala na","non-suicide"
"never ko man lang naranasang maging comfortable sa bahay na to haha","possible suicidal post"
"huhu nawawalan na naman me ng gana sa lahat ng bagay","possible suicidal post"
"Minsan lamg lumabas yung tao pero napakabigdeal sa inyo.","possible suicidal post"
"just wanna sleep without academic stress","possible suicidal post"
"laging naka kontra pero dahil tuloy naman edi sige pota na yan","possible suicidal post"
"Sarap buhay siguro mga nagoojt hmm","non-suicide"
"Parami ng parami formula nakooo","non-suicide"
"Nakaconnect din sa wifi ng EE ??","non-suicide"
"Start na bukas ??","non-suicide"
"Sana magising bukas sa alarm","non-suicide"
"It really hurts","possible suicidal post"
"Your word’s are like weapon","possible suicidal post"
"Breakdown saglit","possible suicidal post"
"50/50 to continue","possible suicidal post"
"Hit the gym to release the anger","possible suicidal post"
"Outing na kaya mga BSEE hmm din ako makakasama sainyoo??","non-suicide"
"Nakopoo tagal ng bus!!","non-suicide"
"Gala mode Hanggang linggo ??","non-suicide"
"Umay ayaw magcharge !","non-suicide"
"Pahinga munaa ??","non-suicide"
"so ayon got my first 2.5 sa activity ?? BAKIT BA DI AKO ARTISTIC TANGINA","possible suicidal post"
"Sana yung pakikisama ko sa ibang tao, ganon din yung pakikisama sa akin. Sana yung respeto na binibigay ko, ganon din yung bumabalik. Alam kong di mag-aadjust mundo sa akin pero tangina nakakaubos ng pasensya. Nakakabastos.","possible suicidal post"
"what to do when people always break your trust????","possible suicidal post"
"So di ako gagawa ng homework kasi naniniwala akong masususpend.","possible suicidal post"
"Life is about taking risks.","possible suicidal post"
"Sakit sa Mata ng ilaw hmm","non-suicide"
"Sana bukas na Yung laban ?????","non-suicide"
"Sana mapaaga pasok mamaya ??","non-suicide"
"TikTok yernss kulang nalang ako kasama eh haha","non-suicide"
"Na last card pa bru","non-suicide"
"Alak na lang para makatulog sa stress na buhay","possible suicidal post"
"Liquor is my medicine","possible suicidal post"
"Hahanapin niyo din ako balang araw","possible suicidal post"
"I wish in my other life i’m mentally stable","possible suicidal post"
"Mindset right want to give up","possible suicidal post"
"????????","non-suicide"
"Shettss spiderman 2 cd game Sana gandaa!!!","non-suicide"
"Di ata tuloy jogging ah","non-suicide"
"Usto ko na magwork hmm","non-suicide"
"i feel like cleaning up my room but its half apst 11pm","possible suicidal post"
"rlly hate how sensitive i am","possible suicidal post"
"sharp","possible suicidal post"
"hayop na mood kasi to, di mo matell","possible suicidal post"
"ano ba namang tanginang mood to","possible suicidal post"
"Lets goo BLACK TEAM!????","non-suicide"
"papasok na talaga ako simula bukas Hanggang sabado ??","non-suicide"
"Buti nalng may event kami now .?","non-suicide"
"Kuya gilboy bawii kayang kaya Yan sa 2nd take padayon future engr.!!????","non-suicide"
"Nakulog na tiyann ??","non-suicide"
"I don’t want to talk to anybody","possible suicidal post"
"Fck this world i’m out","possible suicidal post"
"Bakit ako na lang lagi nahihirapan malapit na mag give up","possible suicidal post"
"120km speed sa motor kanina solid tangal stress/ Throttle therapy","possible suicidal post"
"Ayaw ko na sa world","possible suicidal post"
"My bad","non-suicide"
"Tulog ko nalng Ito antok na ako ??","non-suicide"
"Sana gumaling na agad ????","non-suicide"
"Ibabawi Kita sa Liga pagchampionin namin ??","non-suicide"
"Wala na Yung teammate mo ,Wala nayung taga box out mo Rami nagsasabi saakin ah hmm??","non-suicide"
"Tired sa world","possible suicidal post"
"Lord sunduin mo na ako","possible suicidal post"
"Sometimes hurting myself to release my problems","possible suicidal post"
"Financially unstable/mentally unstable","possible suicidal post"
"Hirap pag sabayin school at work kapahod na","possible suicidal post"
"Lowbat na brain ??","non-suicide"
"Lakas ng dot moo","non-suicide"
"Grave naman uwi ko patulog na sila hmm","non-suicide"
"Nasasanay ko na wordings hmm??","non-suicide"
"Happy nila dito ah tawa ng tawa ??","non-suicide"
"Kala ko ako lang para sayo","possible suicidal post"
"Crying right now","possible suicidal post"
"Need someone to appreciate me","possible suicidal post"
"5% giving on life","possible suicidal post"
"Need to work on my life","possible suicidal post"
"Grind lang ng grind !","non-suicide"
"Abot pala Dito Yung wifi sa brgy ??","non-suicide"
"Umay sa 500 muntik pa mawala ??","non-suicide"
"Solid ng hilot 1 hr. Mahigit","non-suicide"
"Rami tweet ni forehead","non-suicide"
"Wala ng energy 2/8??","possible suicidal post"
"Wrong decision ??","possible suicidal post"
"I want car accident and death.","possible suicidal post"
"I want car accident, coma and memory loss.","possible suicidal post"
"tangina wala pa kong report HAHAHAHAHA ANUNA","possible suicidal post"
"Gawin ko ulit Yung dati bahala na","non-suicide"
"Nagpapicture saamin Yung ebdanes ladies ??","non-suicide"
"Sana makahula mamaya ??","non-suicide"
"Pirma tas uwi kaagad ??","non-suicide"
"50/50 pa mamaya huhu","non-suicide"
"miss ko na frennies ko","possible suicidal post"
"haha hindi daw ba ako nahihiya mag post ng sexy pics sabi nong pinaka ate sa room namin? HAAA? HAAAAA????","possible suicidal post"
"i feel lost inside myself","possible suicidal post"
"energy siz ack????","possible suicidal post"
"To many projects want to give up","possible suicidal post"
"See you ulit kasbuu guys","non-suicide"
"Perfect timing sa pagpasok ??","non-suicide"
"Ok lang ba Yung tinatago Yung kilig hm hahaha solve na araw ko ngayon thanks idol","non-suicide"
"Nanuod ba naman na butas Yung short ??","non-suicide"
"Putik na paa to pasmado??","non-suicide"
"mamatay din naman tayong lahat","possible suicidal post"
"nakakastress, gusto ko nalang umakyat na","possible suicidal post"
"ayaw ko na talaga ","possible suicidal post"
"Eyebags ko kakaiyak mabigat na","possible suicidal post"
"Always compared to others","possible suicidal post"
"Solid naman kapag tinuloy sa April Liga tas may Liga Rin Dito . Lets G!","non-suicide"
"Ang ywohs masiyado malapit kana buminggo ??","non-suicide"
"Ubo umalis ka plss??","non-suicide"
"Kara airplane mode met attoy cp","non-suicide"
"Excited nakong maging coach si ,coach  ????","non-suicide"
"I will be fine","possible suicidal post"
"why is this happening to meee","possible suicidal post"
"want to end this suffering","possible suicidal post"
"kill","possible suicidal post"
"lets end this life","possible suicidal post"
"Tama na pagbibigay ,last nayun","non-suicide"
"Putik muntik nako mascam Buti Hindi ako bumyahe huhu","non-suicide"
"Ginagawa ko namang tubig Yung soft drinks ??","non-suicide"
"Lt naman Yung muging ??","non-suicide"
"Sa next na Liga nalang ilabas tong 2.0 na nakatago","non-suicide"
"My whole existence is aching","possible suicidal post"
"Well, in the end, theres no such thing as a perfect relationship. It just all comes down to how both parties handle it.","possible suicidal post"
"Seeing people who goes on and off together makes me think they must really be devoted with each other, but at the same time, if they are, why would they go off in the first place?","possible suicidal post"
"Received the sign","possible suicidal post"
"Playing till 3am is one thing, but watching a series till this late, or should I say early when I should already be sleeping, well at least I enjoyed lmaoo","possible suicidal post"
"Hmm kailangan na magseryoso na may tutor ????","non-suicide"
"Ano na BSEE-3A galaw galaw naa","non-suicide"
"BLUE HEART YERNS ??","non-suicide"
"Last nayun di na mauulit hmm????","non-suicide"
"Papunta ng overnight tong gagawin ko nako??","non-suicide"
"dami pa ring what ifs.","possible suicidal post"
"it has been 7 years, Pa.","possible suicidal post"
"higa na ako para hindi magising","possible suicidal post"
"sabik sa kabaong","possible suicidal post"
"mahal ko ang buhay pero ayoko na","possible suicidal post"
"Arat bondee guyss !","non-suicide"
"rt for basbas ??","non-suicide"
"Ok dipo lalabas ??","non-suicide"
"Nakakabadtrip amp!","non-suicide"
"Bago maglaro may quiz muna ??","non-suicide"
"Looking for way out","possible suicidal post"
"Can't see future","possible suicidal post"
"Hanngang dito nalang ata tayo","possible suicidal post"
"Pasalpok na ata sa bus","possible suicidal post"
"Surrender na","possible suicidal post"
"Deredretsyo na papuntang finals ??","non-suicide"
"Solid talagaa ni boss Aaron the manager ????","non-suicide"
"Naiscam nako ni Yung sukli ko alaws na??","non-suicide"
"Excited ako sa uniform namin kaso Hindi Rin makakapunta sa parade??","non-suicide"
"Solid si manager Aaron ????","non-suicide"
"No chance of winning in life","possible suicidal post"
"You hurt me so bad","possible suicidal post"
"Ahhhh tama na please","possible suicidal post"
"Pagod lang to","possible suicidal post"
"2% sa buhay","possible suicidal post"
"Persmove talaaga Yung Isa diyan tas may libre pako bukas ??","non-suicide"
"Layo ng pallotan ni daddy botolan ??","non-suicide"
"Dito na ata matulog sa olongapo HAHAHAHA","non-suicide"
"wala na dapat pasok after finals ng  20-21, tapos minove nila exam merong may 28 at june 3? wtf prmsu??","non-suicide"
"homeeeee","non-suicide"
"how can you give up so easily? how can you not find a reason to stay?","possible suicidal post"
"Rejected by the world","possible suicidal post"
"May pagasa pa kaya mag patuloy sa life","possible suicidal post"
"Hayssss what’s happening to me","possible suicidal post"
"No budget for mental health therapy hehehe","possible suicidal post"
"perfect ang midnight chika w ena and ate tina??","non-suicide"
"yaaasss 5/5 sa biglaang kopi kubo","non-suicide"
"sis just got her nails done??","non-suicide"
"bakit ang daming walang emotional intelligence, tanga ba kayo","non-suicide"
"aaaaaa how nice it is to start journaling againnnn??","non-suicide"
"1day a meal lang kaya ng aking body sa stresss","possible suicidal post"
"Pagod na sa school pagod pa sa work hays","possible suicidal post"
"Gusto ko na makita ilaw sa taas heheheheh","possible suicidal post"
"Bakit mo ako iniwan","possible suicidal post"
"My eyes are raining","possible suicidal post"
"a ‘just because’ flower????","non-suicide"
"shopee nanaman??","non-suicide"
"Behind every successful woman is herself","non-suicide"
"ate 3pm lumabas na ako kanina, tapos 5pm pala natapos mga kaklase ko?!?!????","non-suicide"
"the student in me is not studenting","non-suicide"
"baliw na baliw na ako kakaisip","possible suicidal post"
"walang katapusang problema","possible suicidal post"
"bruhhh pagod na ako","possible suicidal post"
"ayaw ko ng umuwi maglalayas na lang","possible suicidal post"
"mental breakdown","possible suicidal post"
"si ading ko naman HAHAHAHAHAHQ bakit daw pare parehas ang mukha sa highschool series ni esnyr?????? beh iisang tao naman yon e HAHAHAHA","non-suicide"
"14 activities done!!??","non-suicide"
"binati ni mama yung kilay ko!! yehey HAHAHSH napansin na natrim sha??","non-suicide"
"ate natakot ako nung nakaraan anlala ng sipon ko walang lasa jabee ko????","non-suicide"
"sakit ng ulo ko","non-suicide"
"want double suicide?","possible suicidal post"
"exhausted","possible suicidal post"
"haha grabeng pag uugali naman yan mga kuya??","possible suicidal post"
"sarap bumukod","possible suicidal post"
"Pet peeve ko na ata tong ganito. Tangina okay sana kung absent ka eh, kaso nandon ka lang, nag ce- cellphone , di nakikinig sa discussion.","possible suicidal post"
"ako na nga kinuhanan ako pa pagbabantaan HAHAHAHA ANGAASSS","non-suicide"
"hirap maging parte ng pamilya niyo idol??","non-suicide"
"??| THE NEW OFFICIAL LOGO FOR TAYLOR SWIFTS THE ERAS TOUR!","non-suicide"
"may nakita ko na dairy milk kanina sa fyp ko, kako gusto ko chocolates tapos pag uwi ko may dairy milk sa ref?!??????","non-suicide"
"yehey chocolates??","non-suicide"
"It came to the point whereby Id even dream of it two consecutive times, but then again, whats new?","possible suicidal post"
"Bad bad bad bad","possible suicidal post"
"Its always hard to fight alone what is supposed to be a battle for two","possible suicidal post"
"That is proof enough to believe","possible suicidal post"
"I lost my purpose again","possible suicidal post"
"lagi talaga naaalala ni mama mga wants ko????","non-suicide"
"hays college, ewan ko sainyo!","non-suicide"
"may lego ako na pochacco, kalahati pa lang nabui tapos sabi ni ading ko “ano yan pingu pingu nanaman”","non-suicide"
"finally got a lego flower??????????","non-suicide"
"wag ko na pala isell, palong palo yung stain HAHAHAHA long lasting sha yan","non-suicide"
"I know someday i will be mentally fine","possible suicidal post"
"Knock on your door to help me","possible suicidal post"
"Need tattoos to express my emotions","possible suicidal post"
"aaaAaa it’s that time of the month again, makes me wanna leave??","possible suicidal post"
"I hate this life","possible suicidal post"
"day well spent, thanks mamey????","non-suicide"
"short dapat ni fatty hahanapin, tapos apat na sando ko ang nabili namin ni mama??","non-suicide"
"aaaaaa book sale nanaman!! syempre bibili ako HAHAHAHA????","non-suicide"
"syempre nabudol nanaman ng barenbliss si ate ko??","non-suicide"
"nakalimutan ko nanaman na may report ako today?????","non-suicide"
"The thing I regretted the most is also the thing I long for the most. Why did I even give in to such an ephemeral feeling...","possible suicidal post"
"Never utter that again, or else I wont be able to hold back myself....","possible suicidal post"
"Hanging out with old friends who haven’t changed is one of the best feelings in the world. They bring out a part of you that you thought you outgrew because “life went on”. As we grow, we keep every age inside of us. Younger versions of yourself never truly disappear,","possible suicidal post"
"Im really weak with those kinds of concerned words from my most beloved person of all. Makes me rethink how I should live my life in order for her to be relieved from stress","possible suicidal post"
"I did delete my posts with our pictures but the pictures themselves are still somewhere I wont ever bother to check again","possible suicidal post"
"aaaaa mozzarella cheese stick??????","non-suicide"
"may COD unbox na ang shopeeeee yehey","non-suicide"
"brb gonna make this real quick??","non-suicide"
"WERE YOU SENT BY SOME-","non-suicide"
"nakakainspire daw, tapos ginaya lahat?????","non-suicide"
"manahimik nalang","possible suicidal post"
"Every day is a struggle to get out of bed","possible suicidal post"
"I feel like a burden to everyone around me.","possible suicidal post"
"I just want the pain to end","possible suicidal post"
"No one would even notice if I were gone","possible suicidal post"
"iiihhh gusto ko ng potato friesss","non-suicide"
"ilang bukas pa kaya para gumaan na","non-suicide"
"good bye social media","non-suicide"
"matutulog na ako tangina hintay pa ng suspension","non-suicide"
"you know whos truly there for you when youre all down and broken","non-suicide"
"galit ka na naman talaga talaga talaga","possible suicidal post"
"School is tough, but so are you. ","possible suicidal post"
"Gusto ko na makita si lord","possible suicidal post"
"Hindi ko na kaya mag patuloy sa life","possible suicidal post"
