,text,Translated Text,Cleaned Text,label
697,all i want is mental peace.,all i want is mental peace.,all want mental peace,Possible Suicidal Post
698,my mental health is absolutely testing me again.,my mental health is absolutely testing me again.,mental health absolutely test,Possible Suicidal Post
699,"Lesson learned putik haha ??,","Lesson learned putik haha ??,",lesson learn putik haha,Non-Suicide
700,Sana makatakbo mamaya ??,Hope to run later ??,hope run later,Non-Suicide
701,Taas ng dot mo  ??,height of your dot ??,height dot,Non-Suicide
702,Buti nalang nagopen ulit ako ??,It's good that I opened again??,good open,Non-Suicide
703,Sablay sablay ah pati ako nadamay ??,I feel sorry too??,feel sorry,Non-Suicide
704,Pinagpalit ako sa malapit,I was changed nearby,change nearby,Possible Suicidal Post
705,Hehehehe pa give up na sa sarili,"Hehehehe, give up on yourself",hehehehe give up,Possible Suicidal Post
706,Ewan ko ba bakit ako pinapahirapan lagi,I don't know why I'm always being tortured,not know why always torture,Possible Suicidal Post
707,The bleed won’t stop,The bleed won’t stop,bleed win stop,Possible Suicidal Post
708,Yosi/alak need ko sa life para hindi mag give up,Yosi/alak I need in life so I don't give up,yosi alak need life not give up,Possible Suicidal Post
709,Sana magising bukas ??,Hope to wake up tomorrow ??,hope wake up tomorrow,Non-Suicide
710,"Lapit na pasukan nanaman, gala mode muna hmm","Entrance is near, gala mode first hmm",entrance near gala mode first hmm,Non-Suicide
711,Bawi kasbuu ??,Bawi won??,bawi win,Non-Suicide
712,Soon inang Ako bahala sayo sa lahat????,Soon mother I will take care of everything for you????,soon mother take care everything,Non-Suicide
713,Nakulo nanaman tiyan hays??,Boiled stomach hays??,boil stomach hay,Non-Suicide
714,"Hirap naman mabuhay ngayon, gusto ko nalang mawala","It's hard to live now, I just want to disappear",hard live want disappear,Possible Suicidal Post
715,just want to disappear forever,just want to disappear forever,want disappear forever,Possible Suicidal Post
716,living is so hard especially with this gen and govt,living is so hard especially with this gen and govt,living hard especially gen govt,Possible Suicidal Post
717,so exhausted in life,so exhausted in life,exhaust life,Possible Suicidal Post
718,people tweet because no one listens.,people tweet because no one listens.,people tweet because no one listen,Possible Suicidal Post
719,Saya ko nanaman HAHAHA,I'm happy HAHAHA,happy hahaha,Non-Suicide
720,Rscon ulit hayss kamiss namans,Rscon again hayss kamiss namans,rscon hayss kami namans,Non-Suicide
721,I WILL PASS MY MIDTERM EXAM.,I WILL PASS MY MIDTERM EXAM.,pass midterm exam,Non-Suicide
722,Partak met ti orasen,The time is also fast,time also fast,Non-Suicide
723,"Kala ko Hanggang bukas nalng pasok , pati pala sat. Meron praktis.","My time Until tomorrow is school, by the way. There is practice.",time tomorrow school way practice,Non-Suicide
724,di na ako papasok tangina niyong lahat,"I'm not going to come in, everyone",not go come everyone,Possible Suicidal Post
725,"and when I get back up, you dont deserve to be in my life","and when I get back up, you dont deserve to be in my life",get back up dont deserve life,Possible Suicidal Post
726,when will this fucked up situation with my family go?,when will this fucked up situation with my family go?,fuck up situation family go,Possible Suicidal Post
727,fucked up life,fucked up life,fuck up life,Possible Suicidal Post
728,"akala ko pag college kain, tulog, at aral lang pero ngayon Im mentally, physically, emotionally, and financially exhausted","I thought in college I would only eat, sleep, and study but now Im mentally, physically, emotionally, and financially exhausted",think college only eat sleep study im mentally physically emotionally financially exhaust,Possible Suicidal Post
729,Ilang araw nalang Rscon ??,How many days Rscon??,how many day rscon,Non-Suicide
730,Bilis ng araw shet??,Speed ​​of the sun shet??,speed sun shet,Non-Suicide
731,Goodluck sa mga magtatryout galingan niyo??,Good luck to those who will tryout from where you come from??,good luck who tryout where come,Non-Suicide
732,Saan Kaya pwede kumain?hmm,Where can we eat? hmm,where eat hmm,Non-Suicide
733,Papunta na sa exciting part naging bato pa??,Going to the exciting part turned into a rock??,go exciting part turn rock,Non-Suicide
734,Minor na feeling major ??,Minor na feeling major ??,minor na feel major,Non-Suicide
735,My emotions are heavy,My emotions are heavy,emotion heavy,Possible Suicidal Post
736,Magiging okay din ako,I'll be okay too,okay,Possible Suicidal Post
737,Grabee yung ginawa mo anlala!!!!,"What you did is terrible, anlala!!!!",what terrible anlala,Possible Suicidal Post
738,Pinaasa mo ako!,You made me hope!,make hope,Possible Suicidal Post
739,Hindi ko alam gagawin ko pag iniwan mo ako:(,I don't know what I'll do if you leave me :(,not know what leave,Possible Suicidal Post
740,Bawi ng Kain bukas ??,Take back food tomorrow ??,take back food tomorrow,Non-Suicide
741,"Oy nagiimprove ,ganda ng result ??","Oy is improving, the result is good??",oy improve result good,Non-Suicide
742,Kita ko nanaman pong -a ??,Can I see you??,see,Non-Suicide
743,Nabigla ako Doon lods??,I'm shocked there lods??,shock lods,Non-Suicide
744,??The special offer package has now been moved to the purchase page  #usdt #playtoearn #bitcoin #nft #NFTs #crypto #blockchain #cryptocurrency #makemoneyonline,??The special offer package has now been moved to the purchase page  #usdt #playtoearn #bitcoin #nft #NFTs #crypto #blockchain #cryptocurrency #makemoneyonline,special offer package move purchase page usdt playtoearn bitcoin nft nfts crypto blockchain cryptocurrency makemoneyonline,Non-Suicide
745,don’t keep your emotions bottled up,don’t keep your emotions bottled up,don keep emotion bottle up,Possible Suicidal Post
746,lil guy has a lot to say,lil guy has a lot to say,lil guy lot say,Possible Suicidal Post
747,"yaw ko talaga nananaginip ng barilan, paggising ko pagod pa rin ako ??","I really dreamed of being shot, when I woke up I was still tired??",really dream shot wake up still tire,Possible Suicidal Post
748,sana di ako gisingin ng maaga bukas. gusto ko ng mahabang sleeeeeeeeee33333ppp :|,I hope I don't wake up early tomorrow. i want long sleeeeeeeeee33333ppp :|,hope not wake up early tomorrow want long sleeeeeeeeee ppp,Possible Suicidal Post
749,my brain is not braining.,my brain is not braining.,brain not brain,Possible Suicidal Post
750,Alam ko na sa susunod ??,I know next time ??,know next time,Non-Suicide
751,"Nakakawalan ng pagod congrats niyo guys  , Thankyou po ????","Relieves fatigue, congrats guys, thank you ????",relief fatigue congrats guy thank,Non-Suicide
752,Naeexcite na ako magbigay si sir ng grades huhu ??,I'm excited sir to give grades huh??,excite sir give grade huh,Non-Suicide
753,Ganda talaga ng mga boyish pumorma hmm,The boyish forms are really nice hmm,boyish form really nice hmm,Non-Suicide
754,Sana passed napoo ??,I hope the sun passed??,hope sun pass,Non-Suicide
755,Im sad and at the same time relieved that I cant this time,Im sad and at the same time relieved that I cant this time,im sad time relieve cant time,Possible Suicidal Post
756,"Escape is the only option, very RL","Escape is the only option, very RL",escape only option very rl,Possible Suicidal Post
757,Why are Saturdays always like this ??,Why are Saturdays always like this ??,why saturdays always like,Possible Suicidal Post
758,I always chicken out right at the very moment,I always chicken out right at the very moment,always chicken out right very moment,Possible Suicidal Post
759,If only Ive been less or youve been more,If only Ive been less or youve been more,only ive less youve more,Possible Suicidal Post
760,"Rami pag-galaan bukas tapos na Yung review days ,wal -wal days naman lets g!!!!!","Rami pagalan tomorrow is over The review days, wal-wal days let's go!!!!!",ramus pagalan tomorrow over review day wal wal day let go,Non-Suicide
761,Kakayanin to bukas tiwala lang ???,"I can do it tomorrow, just trust me???",tomorrow trust,Non-Suicide
762,Putik bat Ang liit naman hahaha??,Is it mud It's small hahaha??,mud small hahaha,Non-Suicide
763,Hirap pag late ka tlaaga pumasok hmm,"It's hard to come in when you're late, hmm",hard come late hmm,Non-Suicide
764,Ramii ng topics ??,How many topics??,how many topic,Non-Suicide
765,stress sa school,school stress,school stress,Possible Suicidal Post
766,stressed,stressed,stress,Possible Suicidal Post
767,trusting people is getting harder,trusting people is getting harder,trust people get hard,Possible Suicidal Post
768,I dont want to live anymore,I dont want to live anymore,dont want live anymore,Possible Suicidal Post
769,die now,die now,die,Possible Suicidal Post
770,Pawis sabay Aircon nanaman ??,Sweating with Aircon??,sweat aircon,Non-Suicide
771,Nicee one Ong dapat nakahalata kana una palang,Nice one Ong should have noticed that first,nice one ong notice first,Non-Suicide
772,G na to guyss last na!,G is to guyss last!,guy last,Non-Suicide
773,"Wag Sana tumuloy , nasa stage na ako ng tumataba ako ,wag po Sana sa stage na papayat ulit hmm??","Don't hope to continue, I'm already in the stage of gaining weight, don't hope to be in the stage of losing weight again hmm??",not hope continue already stage gain weight not hope stage lose weight hmm,Non-Suicide
774,Diko na ata Erik shett??,Where is Erik Shett??,where erik shett,Non-Suicide
775,"Students sa umaga, stress sa gabi","Students in the morning, stress at night",student morning stress night,Possible Suicidal Post
776,Being rude to release some problems on my life,Being rude to release some problems on my life,rude release problem life,Possible Suicidal Post
777,tumatamlay na naman pagkatao ko,my personality is sluggish again,personality sluggish,Possible Suicidal Post
778,oa na ba ako kung sasabihin kong nasasaktan talaga ako ngayon,Am I right if I say that I'm really hurt right now?,right say really hurt right,Possible Suicidal Post
779,"“nakakahiya ka” putangina ate tumagos sa puso yon, wtf february???","""you're embarrassing"" pussy penetrated that heart, wtf february???",embarrass pussy penetrate heart wtf february,Possible Suicidal Post
780,Nararadar ko na may just in to bukas ??,I sense that there is a just in tomorrow??,sense tomorrow,Non-Suicide
781,Goodluck saamin bukas Sana makahula ????,Good luck tomorrow I hope you can guess????,good luck tomorrow hope guess,Non-Suicide
782,Makapasa lang sa midyear ok naa ????,Just pass the midyear ok naa ????,pass midyear ok naa,Non-Suicide
783,Loko Loko tlagaa tong na to??,Loko Loko tlagaa tong na to??,loko loko tlagaa tong na,Non-Suicide
784,"Tama na munaa , bahala na","Tama na munaa , bahala na",tama na munaa bahala na,Non-Suicide
785,never ko man lang naranasang maging comfortable sa bahay na to haha,I've never even experienced being comfortable in this house haha,never even experience comfortable house haha,Possible Suicidal Post
786,huhu nawawalan na naman me ng gana sa lahat ng bagay,I'm losing my appetite for everything again,lose appetite everything,Possible Suicidal Post
787,Minsan lamg lumabas yung tao pero napakabigdeal sa inyo.,"The person only came out sometimes, but it was a big deal to you.",person only come out sometimes big deal,Possible Suicidal Post
788,just wanna sleep without academic stress,just wanna sleep without academic stress,wan na sleep without academic stress,Possible Suicidal Post
789,laging naka kontra pero dahil tuloy naman edi sige pota na yan,always against but that's because it's okay,always against because okay,Possible Suicidal Post
790,Sarap buhay siguro mga nagoojt hmm,"Maybe life is good, nagoojt hmm",maybe life good nagoojt hmm,Non-Suicide
791,Parami ng parami formula nakooo,More and more formula nakoo,more more formula nakoo,Non-Suicide
792,Nakaconnect din sa wifi ng EE ??,Also connected to EE wifi ??,also connect ee wifi,Non-Suicide
793,Start na bukas ??,Starts tomorrow??,start tomorrow,Non-Suicide
794,Sana magising bukas sa alarm,Hope to wake up tomorrow to the alarm,hope wake up tomorrow alarm,Non-Suicide
795,It really hurts,It really hurts,really hurt,Possible Suicidal Post
796,Your word’s are like weapon,Your word’s are like weapon,word like weapon,Possible Suicidal Post
797,Breakdown saglit,Breakdown for a moment,breakdown moment,Possible Suicidal Post
798,50/50 to continue,50/50 to continue,continue,Possible Suicidal Post
799,Hit the gym to release the anger,Hit the gym to release the anger,hit gym release anger,Possible Suicidal Post
800,Outing na kaya mga BSEE hmm din ako makakasama sainyoo??,"BSEEs are already outing, hmm can I join you too??",bsees already out hmm join,Non-Suicide
801,Nakopoo tagal ng bus!!,Nakopo for a long time on the bus!!,nakopo long time bus,Non-Suicide
802,Gala mode Hanggang linggo ??,Gala mode Until the week ??,gala mode week,Non-Suicide
803,Umay ayaw magcharge !,Umay doesn't want to charge!,umay not want charge,Non-Suicide
804,Pahinga munaa ??,Where are you??,where,Non-Suicide
805,so ayon got my first 2.5 sa activity ?? BAKIT BA DI AKO ARTISTIC TANGINA,so Ayon got my first 2.5 in the activity?? WHY AM I NOT ARTISTIC TANGINA?,ayon get first activity why not artistic tangina,Possible Suicidal Post
806,"Sana yung pakikisama ko sa ibang tao, ganon din yung pakikisama sa akin. Sana yung respeto na binibigay ko, ganon din yung bumabalik. Alam kong di mag-aadjust mundo sa akin pero tangina nakakaubos ng pasensya. Nakakabastos.","I hope that the way I spend time with other people is the same as spending time with me. I hope that the respect that I give, is the same that comes back. I know the world won't adjust to me, but it just takes patience. It's rude.",hope way spend time people spending time hope respect give come back know world not adjust take patience rude,Possible Suicidal Post
807,what to do when people always break your trust????,what to do when people always break your trust????,what people always break trust,Possible Suicidal Post
808,So di ako gagawa ng homework kasi naniniwala akong masususpend.,So I won't do homework because I believe I will be suspended.,not homework because believe suspend,Possible Suicidal Post
809,Life is about taking risks.,Life is about taking risks.,life take risk,Possible Suicidal Post
810,Sakit sa Mata ng ilaw hmm,Eye pain from light hmm,eye pain light hmm,Non-Suicide
811,Sana bukas na Yung laban ?????,I hope the match is tomorrow?????,hope match tomorrow,Non-Suicide
812,Sana mapaaga pasok mamaya ??,I hope to be able to go to school later??,hope able go school later,Non-Suicide
813,TikTok yernss kulang nalang ako kasama eh haha,TikTok yernss I just don't have enough friends haha,tiktok yernss not enough friend haha,Non-Suicide
814,Na last card pa bru,It's still the last card bru,still last card bru,Non-Suicide
815,Alak na lang para makatulog sa stress na buhay,Just drink to sleep from the stressful life,drink sleep stressful life,Possible Suicidal Post
816,Liquor is my medicine,Liquor is my medicine,liquor medicine,Possible Suicidal Post
817,Hahanapin niyo din ako balang araw,You will also find me one day,also find one day,Possible Suicidal Post
818,I wish in my other life i’m mentally stable,I wish in my other life i’m mentally stable,wish life mentally stable,Possible Suicidal Post
819,Mindset right want to give up,Mindset right want to give up,mindset right want give up,Possible Suicidal Post
820,Shettss spiderman 2 cd game Sana gandaa!!!,Shettss spiderman 2 cd game That village!!!,shettss spiderman cd game village,Non-Suicide
821,Di ata tuloy jogging ah,It's not jogging,not jog,Non-Suicide
822,Usto ko na magwork hmm,I'd like to work hmm,like work hmm,Non-Suicide
823,i feel like cleaning up my room but its half apst 11pm,i feel like cleaning up my room but its half apst 11pm,feel like clean up room half apst pm,Possible Suicidal Post
824,rlly hate how sensitive i am,rlly hate how sensitive i am,rlly hate how sensitive,Possible Suicidal Post
825,sharp,sharp,sharp,Possible Suicidal Post
826,"hayop na mood kasi to, di mo matell","because it's an animal's mood, you can't tell",because animal mood not tell,Possible Suicidal Post
827,ano ba namang tanginang mood to,what kind of mood is that?,what kind mood,Possible Suicidal Post
828,Lets goo BLACK TEAM!????,Lets goo BLACK TEAM!????,let goo black team,Non-Suicide
829,papasok na talaga ako simula bukas Hanggang sabado ??,I'm really coming in from tomorrow until saturday??,really come tomorrow saturday,Non-Suicide
830,Buti nalng may event kami now .?,It's good that we have an event now.?,good event,Non-Suicide
831,Kuya gilboy bawii kayang kaya Yan sa 2nd take padayon future engr.!!????,Kuya gilboy can you take back that in the 2nd take and continue future engr.!!????,kuya gilboy take back nd take continue future engr,Non-Suicide
832,Nakulog na tiyann ??,Nakulog is there ??,nakulog,Non-Suicide
833,I don’t want to talk to anybody,I don’t want to talk to anybody,don want talk anybody,Possible Suicidal Post
834,Fck this world i’m out,Fck this world i’m out,fck world out,Possible Suicidal Post
835,Bakit ako na lang lagi nahihirapan malapit na mag give up,Why am I always struggling and almost giving up?,why always struggle almost give up,Possible Suicidal Post
836,120km speed sa motor kanina solid tangal stress/ Throttle therapy,120km speed on the motor earlier solid tangal stress/ Throttle therapy,km speed motor earlier solid tangal stress throttle therapy,Possible Suicidal Post
837,Ayaw ko na sa world,I don't want the world anymore,not want world anymore,Possible Suicidal Post
838,My bad,My bad,bad,Non-Suicide
839,Tulog ko nalng Ito antok na ako ??,"I went to sleep, am I already sleepy??",go sleep already sleepy,Non-Suicide
840,Sana gumaling na agad ????,I hope you get well soon????,hope get well soon,Non-Suicide
841,Ibabawi Kita sa Liga pagchampionin namin ??,I'll take you back to the League when we win the championship??,take back league win championship,Non-Suicide
842,"Wala na Yung teammate mo ,Wala nayung taga box out mo Rami nagsasabi saakin ah hmm??","Your teammate is gone, there is no one to box you out Rami is telling me ah hmm??",teammate go no one box out ramus tell ah hmm,Non-Suicide
843,Tired sa world,Tired of the world,tire world,Possible Suicidal Post
844,Lord sunduin mo na ako,Lord pick me up,lord pick up,Possible Suicidal Post
845,Sometimes hurting myself to release my problems,Sometimes hurting myself to release my problems,sometimes hurt release problem,Possible Suicidal Post
846,Financially unstable/mentally unstable,Financially unstable/mentally unstable,financially unstable mentally unstable,Possible Suicidal Post
847,Hirap pag sabayin school at work kapahod na,It's hard to juggle school and work at the same time,hard juggle school work time,Possible Suicidal Post
848,Lowbat na brain ??,Lowbat brain??,lowbat brain,Non-Suicide
849,Lakas ng dot moo,Power of dot moo,power dot moo,Non-Suicide
850,Grave naman uwi ko patulog na sila hmm,"Seriously, I'm going home and they're going to bed hmm",seriously go home go bed hmm,Non-Suicide
851,Nasasanay ko na wordings hmm??,I'm getting used to wordings hmm??,get use wording hmm,Non-Suicide
852,Happy nila dito ah tawa ng tawa ??,"They are happy here, laughing so much??",happy laugh much,Non-Suicide
853,Kala ko ako lang para sayo,I'm the only one for you,only one,Possible Suicidal Post
854,Crying right now,Crying right now,cry right,Possible Suicidal Post
855,Need someone to appreciate me,Need someone to appreciate me,need someone appreciate,Possible Suicidal Post
856,5% giving on life,5% giving on life,give life,Possible Suicidal Post
857,Need to work on my life,Need to work on my life,need work life,Possible Suicidal Post
858,Grind lang ng grind !,Just grind grind!,grind grind,Non-Suicide
859,Abot pala Dito Yung wifi sa brgy ??,Does the wifi reach here in the brgy??,wifi reach brgy,Non-Suicide
860,Umay sa 500 muntik pa mawala ??,Umay at 500 almost lost??,umay almost lose,Non-Suicide
861,Solid ng hilot 1 hr. Mahigit,Midwife solid 1 hr. More,midwife solid hr more,Non-Suicide
862,Rami tweet ni forehead,Rami tweet ni forehead,ramus tweet ni forehead,Non-Suicide
863,Wala ng energy 2/8??,No energy 2/8??,no energy,Possible Suicidal Post
864,Wrong decision ??,Wrong decision ??,wrong decision,Possible Suicidal Post
865,I want car accident and death.,I want car accident and death.,want car accident death,Possible Suicidal Post
866,"I want car accident, coma and memory loss.","I want car accident, coma and memory loss.",want car accident coma memory loss,Possible Suicidal Post
867,tangina wala pa kong report HAHAHAHAHA ANUNA,but I don't have a report yet HAHAHAHAHA ANUNA,not report yet hahahahaha anuna,Possible Suicidal Post
868,Gawin ko ulit Yung dati bahala na,I'll do it again. It's up to you,up,Non-Suicide
869,Nagpapicture saamin Yung ebdanes ladies ??,The ebdanes ladies took pictures with us??,ebdanes lady take picture u,Non-Suicide
870,Sana makahula mamaya ??,Hope to guess later ??,hope guess later,Non-Suicide
871,Pirma tas uwi kaagad ??,Signature bag go home right away ??,signature bag go home right away,Non-Suicide
872,50/50 pa mamaya huhu,50/50 later huhu,later huhu,Non-Suicide
873,miss ko na frennies ko,I miss my frennies,miss frennies,Possible Suicidal Post
874,haha hindi daw ba ako nahihiya mag post ng sexy pics sabi nong pinaka ate sa room namin? HAAA? HAAAAA????,haha I'm not ashamed to post sexy pics said the sister in our room? HAHA? HAAAAA????,haha not ashamed post sexy pic say sister room haha haaaaa,Possible Suicidal Post
875,i feel lost inside myself,i feel lost inside myself,feel lose inside,Possible Suicidal Post
876,energy siz ack????,energy siz ack????,energy siz ack,Possible Suicidal Post
877,To many projects want to give up,To many projects want to give up,many project want give up,Possible Suicidal Post
878,See you ulit kasbuu guys,See you again kasbuu guys,see kasbuu guy,Non-Suicide
879,Perfect timing sa pagpasok ??,Perfect timing to enter??,perfect timing enter,Non-Suicide
880,Ok lang ba Yung tinatago Yung kilig hm hahaha solve na araw ko ngayon thanks idol,Is it ok to hide the thrill hm hahaha today is my day to solve thanks idol,ok hide thrill hm hahaha today day solve thanks idol,Non-Suicide
881,Nanuod ba naman na butas Yung short ??,Did you see a hole in the short??,see hole short,Non-Suicide
882,Putik na paa to pasmado??,Are you covered in mud??,cover mud,Non-Suicide
883,mamatay din naman tayong lahat,we will all die too,all die,Possible Suicidal Post
884,"nakakastress, gusto ko nalang umakyat na","it's stressful, I just want to go upstairs",stressful want go upstairs,Possible Suicidal Post
885,ayaw ko na talaga ,I really don't want to,really not want,Possible Suicidal Post
886,Eyebags ko kakaiyak mabigat na,My eyelids are so heavy,eyelid heavy,Possible Suicidal Post
887,Always compared to others,Always compared to others,always compare others,Possible Suicidal Post
888,Solid naman kapag tinuloy sa April Liga tas may Liga Rin Dito . Lets G!,It's solid when it continues in the April League because there's also a League Here. Let's G!,solid continue april league because also league let,Non-Suicide
889,Ang ywohs masiyado malapit kana buminggo ??,Is ywohs so bad that you're about to go crazy??,ywohs bad go crazy,Non-Suicide
890,Ubo umalis ka plss??,Cough leave plss??,cough leave plss,Non-Suicide
891,Kara airplane mode met attoy cp,Kara airplane mode met attoy cp,kara airplane mode meet attoy cp,Non-Suicide
892,"Excited nakong maging coach si ,coach  ????","I'm excited to be a coach, coach ????",excite coach coach,Non-Suicide
893,I will be fine,I will be fine,fine,Possible Suicidal Post
894,why is this happening to meee,why is this happening to meee,why happen meee,Possible Suicidal Post
895,want to end this suffering,want to end this suffering,want end suffering,Possible Suicidal Post
896,kill,kill,kill,Possible Suicidal Post
897,lets end this life,lets end this life,let end life,Possible Suicidal Post
898,"Tama na pagbibigay ,last nayun","Giving right, that's the last one",give right last one,Non-Suicide
899,Putik muntik nako mascam Buti Hindi ako bumyahe huhu,I'm almost covered in mud. Good thing I don't travel huhu,almost cover mud good thing not travel huhu,Non-Suicide
900,Ginagawa ko namang tubig Yung soft drinks ??,I make soft drinks with water??,make soft drink water,Non-Suicide
901,Lt naman Yung muging ??,What about the muging??,what muging,Non-Suicide
902,Sa next na Liga nalang ilabas tong 2.0 na nakatago,"In the next League, just release this 2.0 that is hidden",next league release hidden,Non-Suicide
903,My whole existence is aching,My whole existence is aching,whole existence ache,Possible Suicidal Post
904,"Well, in the end, theres no such thing as a perfect relationship. It just all comes down to how both parties handle it.","Well, in the end, theres no such thing as a perfect relationship. It just all comes down to how both parties handle it.",well end theres no thing perfect relationship all come down how party handle,Possible Suicidal Post
905,"Seeing people who goes on and off together makes me think they must really be devoted with each other, but at the same time, if they are, why would they go off in the first place?","Seeing people who goes on and off together makes me think they must really be devoted with each other, but at the same time, if they are, why would they go off in the first place?",see people who go together make think must really devote time why go first place,Possible Suicidal Post
906,Received the sign,Received the sign,receive sign,Possible Suicidal Post
907,"Playing till 3am is one thing, but watching a series till this late, or should I say early when I should already be sleeping, well at least I enjoyed lmaoo","Playing till 3am is one thing, but watching a series till this late, or should I say early when I should already be sleeping, well at least I enjoyed lmaoo",play till one thing watch series till late say early already sleep well least enjoy lmaoo,Possible Suicidal Post
908,Hmm kailangan na magseryoso na may tutor ????,Hmm need to get serious with a tutor ????,hmm need get serious tutor,Non-Suicide
909,Ano na BSEE-3A galaw galaw naa,What is the BSEE-3A movement?,what bsee movement,Non-Suicide
910,BLUE HEART YERNS ??,BLUE HEART YERNS ??,blue heart yerns,Non-Suicide
911,Last nayun di na mauulit hmm????,"That was the last time, it won't happen again hmm????",last time not happen hmm,Non-Suicide
912,Papunta ng overnight tong gagawin ko nako??,I'm going to do it overnight??,go overnight,Non-Suicide
913,dami pa ring what ifs.,dami pa ring what ifs.,dami pa ring what ifs,Possible Suicidal Post
914,"it has been 7 years, Pa.","it has been 7 years, Pa.",year pa,Possible Suicidal Post
915,higa na ako para hindi magising,I'm going to bed so I don't wake up,go bed not wake up,Possible Suicidal Post
916,sabik sa kabaong,eager for the coffin,eager coffin,Possible Suicidal Post
917,mahal ko ang buhay pero ayoko na,I love life but I don't want it anymore,love life not want anymore,Possible Suicidal Post
918,Arat bondee guyss !,Arat bondee guys!,arat bondee guy,Non-Suicide
919,rt for basbas ??,rt for basbas ??,rt basbas,Non-Suicide
920,Ok dipo lalabas ??,Ok will it come out??,ok come out,Non-Suicide
921,Nakakabadtrip amp!,Bad trip amp!,bad trip amp,Non-Suicide
922,Bago maglaro may quiz muna ??,Bago maglaro may quiz want ??,bago maglaro may quiz want,Non-Suicide
923,Looking for way out,Looking for way out,look way out,Possible Suicidal Post
924,Can't see future,Can't see future,not see future,Possible Suicidal Post
925,Hanngang dito nalang ata tayo,That's all we can do,all,Possible Suicidal Post
926,Pasalpok na ata sa bus,Let's get on the bus,let get bus,Possible Suicidal Post
927,Surrender na,Surrender already,surrender already,Possible Suicidal Post
928,Deredretsyo na papuntang finals ??,Descending to the finals??,descend final,Non-Suicide
929,Solid talagaa ni boss Aaron the manager ????,Boss Aaron the manager is really solid ????,bos aaron manager really solid,Non-Suicide
930,Naiscam nako ni Yung sukli ko alaws na??,Yung scammed me with my change already??,yung scammed change already,Non-Suicide
931,Excited ako sa uniform namin kaso Hindi Rin makakapunta sa parade??,I'm excited about our uniform in case I can't go to the parade either??,excite uniform case not go parade either,Non-Suicide
932,Solid si manager Aaron ????,Solid si manager Aaron ????,solid si manager aaron,Non-Suicide
933,No chance of winning in life,No chance of winning in life,no chance win life,Possible Suicidal Post
934,You hurt me so bad,You hurt me so bad,hurt bad,Possible Suicidal Post
935,Ahhhh tama na please,Ahhhh that's right please,ahhhh right please,Possible Suicidal Post
936,Pagod lang to,It's just tired,tire,Possible Suicidal Post
937,2% sa buhay,2% in life,life,Possible Suicidal Post
938,Persmove talaaga Yung Isa diyan tas may libre pako bukas ??,Persmove köfü That one over there has a free nail tomorrow??,persmove one over free nail tomorrow,Non-Suicide
939,Layo ng pallotan ni daddy botolan ??,Daddy's pallotan is always bottled ??,daddy pallotan always bottle,Non-Suicide
940,Dito na ata matulog sa olongapo HAHAHAHA,Let's sleep here in Olongapo HAHAHAHA,let sleep olongapo hahahaha,Non-Suicide
941,"wala na dapat pasok after finals ng  20-21, tapos minove nila exam merong may 28 at june 3? wtf prmsu??","there is no one to go to school after finals on 20-21, then they said there will be an exam on 28 and June 3? wtf prmsu??",no one go school after final say exam june wtf prmsu,Non-Suicide
942,homeeeee,homeeeee,homeeeee,Non-Suicide
943,how can you give up so easily? how can you not find a reason to stay?,how can you give up so easily? how can you not find a reason to stay?,how give up easily how not find reason stay,Possible Suicidal Post
944,Rejected by the world,Rejected by the world,reject world,Possible Suicidal Post
945,May pagasa pa kaya mag patuloy sa life,There is still hope to continue in life,still hope continue life,Possible Suicidal Post
946,Hayssss what’s happening to me,Hayssss what’s happening to me,hay what happen,Possible Suicidal Post
947,No budget for mental health therapy hehehe,No budget for mental health therapy hehehe,no budget mental health therapy hehehe,Possible Suicidal Post
948,perfect ang midnight chika w ena and ate tina??,midnight chika w ena and aunt tina is perfect??,midnight chika ena aunt tina perfect,Non-Suicide
949,yaaasss 5/5 sa biglaang kopi kubo,yaaasss 5/5 on sudden kopi kubo,yaaasss sudden kopi kubo,Non-Suicide
950,sis just got her nails done??,sis just got her nails done??,si get nail do,Non-Suicide
951,"bakit ang daming walang emotional intelligence, tanga ba kayo","why do so many people have no emotional intelligence, are you stupid?",why many people no emotional intelligence stupid,Non-Suicide
952,aaaaaa how nice it is to start journaling againnnn??,aaaaaa how nice is it to start journaling againnnn??,aaaaaa how nice start journaling againnnn,Non-Suicide
953,1day a meal lang kaya ng aking body sa stresss,My body can only handle 1 meal a day with stress,body only handle meal day stress,Possible Suicidal Post
954,Pagod na sa school pagod pa sa work hays,"Tired of school, tired of work hays",tire school tire work hay,Possible Suicidal Post
955,Gusto ko na makita ilaw sa taas heheheheh,I want to see light at the top heheheheh,want see light top heheheheh,Possible Suicidal Post
956,Bakit mo ako iniwan,Why did you leave me,why leave,Possible Suicidal Post
957,My eyes are raining,My eyes are raining,eye rain,Possible Suicidal Post
958,a ‘just because’ flower????,a ‘just because’ flower????,because flower,Non-Suicide
959,shopee nanaman??,shopee anyway??,shopee anyway,Non-Suicide
960,Behind every successful woman is herself,Behind every successful woman is herself,behind every successful woman,Non-Suicide
961,"ate 3pm lumabas na ako kanina, tapos 5pm pala natapos mga kaklase ko?!?!????","sister, I went out at 3pm earlier, and my classmates finished at 5pm?!?!????",sister go out pm earlier classmate finish pm,Non-Suicide
962,the student in me is not studenting,the student in me is not studenting,student not studenting,Non-Suicide
