,Unnamed: 0,text,label,Translated Text,Cleaned Text
725,725,Partak met ti orasen,non-suicide,The time is also fast,time also fast
726,726,"Kala ko Hanggang bukas nalng pasok , pati pala sat. Meron praktis.",non-suicide,"My time Until tomorrow is school, by the way. There is practice.",time tomorrow school way practice
727,727,di na ako papasok tangina niyong lahat,possible suicidal post,"I'm not going to come in, everyone",not go come everyone
728,728,"and when I get back up, you dont deserve to be in my life",possible suicidal post,"and when I get back up, you dont deserve to be in my life",get back up dont deserve life
729,729,when will this fucked up situation with my family go?,possible suicidal post,when will this fucked up situation with my family go?,fuck up situation family go
730,730,fucked up life,possible suicidal post,fucked up life,fuck up life
731,731,"akala ko pag college kain, tulog, at aral lang pero ngayon Im mentally, physically, emotionally, and financially exhausted",possible suicidal post,"I thought in college I would only eat, sleep, and study but now Im mentally, physically, emotionally, and financially exhausted",think college only eat sleep study im mentally physically emotionally financially exhaust
732,732,Ilang araw nalang Rscon ??,non-suicide,How many days Rscon??,how many day rscon
733,733,Bilis ng araw shet??,non-suicide,Speed ​​of the sun shet??,speed sun shet
734,734,Goodluck sa mga magtatryout galingan niyo??,non-suicide,Good luck to those who will tryout from where you come from??,good luck who tryout where come
735,735,Saan Kaya pwede kumain?hmm,non-suicide,Where can we eat? hmm,where eat hmm
736,736,Papunta na sa exciting part naging bato pa??,non-suicide,Going to the exciting part turned into a rock??,go exciting part turn rock
737,737,Minor na feeling major ??,non-suicide,Minor na feeling major ??,minor na feel major
738,738,My emotions are heavy,possible suicidal post,My emotions are heavy,emotion heavy
739,739,Magiging okay din ako,possible suicidal post,I'll be okay too,okay
740,740,Grabee yung ginawa mo anlala!!!!,possible suicidal post,"What you did is terrible, anlala!!!!",what terrible anlala
741,741,Pinaasa mo ako!,possible suicidal post,You made me hope!,make hope
742,742,Hindi ko alam gagawin ko pag iniwan mo ako:(,possible suicidal post,I don't know what I'll do if you leave me :(,not know what leave
743,743,Bawi ng Kain bukas ??,non-suicide,Take back food tomorrow ??,take back food tomorrow
744,744,"Oy nagiimprove ,ganda ng result ??",non-suicide,"Oy is improving, the result is good??",oy improve result good
745,745,Kita ko nanaman pong -a ??,non-suicide,Can I see you??,see
746,746,Nabigla ako Doon lods??,non-suicide,I'm shocked there lods??,shock lods
747,747,??The special offer package has now been moved to the purchase page  #usdt #playtoearn #bitcoin #nft #NFTs #crypto #blockchain #cryptocurrency #makemoneyonline,non-suicide,??The special offer package has now been moved to the purchase page  #usdt #playtoearn #bitcoin #nft #NFTs #crypto #blockchain #cryptocurrency #makemoneyonline,special offer package move purchase page usdt playtoearn bitcoin nft nfts crypto blockchain cryptocurrency makemoneyonline
748,748,don’t keep your emotions bottled up,possible suicidal post,don’t keep your emotions bottled up,don keep emotion bottle up
749,749,lil guy has a lot to say,possible suicidal post,lil guy has a lot to say,lil guy lot say
750,750,"yaw ko talaga nananaginip ng barilan, paggising ko pagod pa rin ako ??",possible suicidal post,"I really dreamed of being shot, when I woke up I was still tired??",really dream shot wake up still tire
751,751,sana di ako gisingin ng maaga bukas. gusto ko ng mahabang sleeeeeeeeee33333ppp :|,possible suicidal post,I hope I don't wake up early tomorrow. i want long sleeeeeeeeee33333ppp :|,hope not wake up early tomorrow want long sleeeeeeeeee ppp
752,752,my brain is not braining.,possible suicidal post,my brain is not braining.,brain not brain
753,753,Alam ko na sa susunod ??,non-suicide,I know next time ??,know next time
754,754,"Nakakawalan ng pagod congrats niyo guys  , Thankyou po ????",non-suicide,"Relieves fatigue, congrats guys, thank you ????",relief fatigue congrats guy thank
755,755,Naeexcite na ako magbigay si sir ng grades huhu ??,non-suicide,I'm excited sir to give grades huh??,excite sir give grade huh
756,756,Ganda talaga ng mga boyish pumorma hmm,non-suicide,The boyish forms are really nice hmm,boyish form really nice hmm
757,757,Sana passed napoo ??,non-suicide,I hope the sun passed??,hope sun pass
758,758,Im sad and at the same time relieved that I cant this time,possible suicidal post,Im sad and at the same time relieved that I cant this time,im sad time relieve cant time
759,759,"Escape is the only option, very RL",possible suicidal post,"Escape is the only option, very RL",escape only option very rl
760,760,Why are Saturdays always like this ??,possible suicidal post,Why are Saturdays always like this ??,why saturdays always like
761,761,I always chicken out right at the very moment,possible suicidal post,I always chicken out right at the very moment,always chicken out right very moment
762,762,If only Ive been less or youve been more,possible suicidal post,If only Ive been less or youve been more,only ive less youve more
763,763,"Rami pag-galaan bukas tapos na Yung review days ,wal -wal days naman lets g!!!!!",non-suicide,"Rami pagalan tomorrow is over The review days, wal-wal days let's go!!!!!",ramus pagalan tomorrow over review day wal wal day let go
764,764,Kakayanin to bukas tiwala lang ???,non-suicide,"I can do it tomorrow, just trust me???",tomorrow trust
765,765,Putik bat Ang liit naman hahaha??,non-suicide,Is it mud It's small hahaha??,mud small hahaha
766,766,Hirap pag late ka tlaaga pumasok hmm,non-suicide,"It's hard to come in when you're late, hmm",hard come late hmm
767,767,Ramii ng topics ??,non-suicide,How many topics??,how many topic
768,768,stress sa school,possible suicidal post,school stress,school stress
769,769,stressed,possible suicidal post,stressed,stress
770,770,trusting people is getting harder,possible suicidal post,trusting people is getting harder,trust people get hard
771,771,I dont want to live anymore,possible suicidal post,I dont want to live anymore,dont want live anymore
772,772,die now,possible suicidal post,die now,die
773,773,Pawis sabay Aircon nanaman ??,non-suicide,Sweating with Aircon??,sweat aircon
774,774,Nicee one Ong dapat nakahalata kana una palang,non-suicide,Nice one Ong should have noticed that first,nice one ong notice first
775,775,G na to guyss last na!,non-suicide,G is to guyss last!,guy last
776,776,"Wag Sana tumuloy , nasa stage na ako ng tumataba ako ,wag po Sana sa stage na papayat ulit hmm??",non-suicide,"Don't hope to continue, I'm already in the stage of gaining weight, don't hope to be in the stage of losing weight again hmm??",not hope continue already stage gain weight not hope stage lose weight hmm
777,777,Diko na ata Erik shett??,non-suicide,Where is Erik Shett??,where erik shett
778,778,"Students sa umaga, stress sa gabi",possible suicidal post,"Students in the morning, stress at night",student morning stress night
779,779,Being rude to release some problems on my life,possible suicidal post,Being rude to release some problems on my life,rude release problem life
780,780,tumatamlay na naman pagkatao ko,possible suicidal post,my personality is sluggish again,personality sluggish
781,781,oa na ba ako kung sasabihin kong nasasaktan talaga ako ngayon,possible suicidal post,Am I right if I say that I'm really hurt right now?,right say really hurt right
782,782,"“nakakahiya ka” putangina ate tumagos sa puso yon, wtf february???",possible suicidal post,"""you're embarrassing"" pussy penetrated that heart, wtf february???",embarrass pussy penetrate heart wtf february
783,783,Nararadar ko na may just in to bukas ??,non-suicide,I sense that there is a just in tomorrow??,sense tomorrow
784,784,Goodluck saamin bukas Sana makahula ????,non-suicide,Good luck tomorrow I hope you can guess????,good luck tomorrow hope guess
785,785,Makapasa lang sa midyear ok naa ????,non-suicide,Just pass the midyear ok naa ????,pass midyear ok naa
786,786,Loko Loko tlagaa tong na to??,non-suicide,Loko Loko tlagaa tong na to??,loko loko tlagaa tong na
787,787,"Tama na munaa , bahala na",non-suicide,"Tama na munaa , bahala na",tama na munaa bahala na
788,788,never ko man lang naranasang maging comfortable sa bahay na to haha,possible suicidal post,I've never even experienced being comfortable in this house haha,never even experience comfortable house haha
789,789,huhu nawawalan na naman me ng gana sa lahat ng bagay,possible suicidal post,I'm losing my appetite for everything again,lose appetite everything
790,790,Minsan lamg lumabas yung tao pero napakabigdeal sa inyo.,possible suicidal post,"The person only came out sometimes, but it was a big deal to you.",person only come out sometimes big deal
791,791,just wanna sleep without academic stress,possible suicidal post,just wanna sleep without academic stress,wan na sleep without academic stress
792,792,laging naka kontra pero dahil tuloy naman edi sige pota na yan,possible suicidal post,always against but that's because it's okay,always against because okay
793,793,Sarap buhay siguro mga nagoojt hmm,non-suicide,"Maybe life is good, nagoojt hmm",maybe life good nagoojt hmm
794,794,Parami ng parami formula nakooo,non-suicide,More and more formula nakoo,more more formula nakoo
795,795,Nakaconnect din sa wifi ng EE ??,non-suicide,Also connected to EE wifi ??,also connect ee wifi
796,796,Start na bukas ??,non-suicide,Starts tomorrow??,start tomorrow
797,797,Sana magising bukas sa alarm,non-suicide,Hope to wake up tomorrow to the alarm,hope wake up tomorrow alarm
798,798,It really hurts,possible suicidal post,It really hurts,really hurt
799,799,Your word’s are like weapon,possible suicidal post,Your word’s are like weapon,word like weapon
800,800,Breakdown saglit,possible suicidal post,Breakdown for a moment,breakdown moment
801,801,50/50 to continue,possible suicidal post,50/50 to continue,continue
802,802,Hit the gym to release the anger,possible suicidal post,Hit the gym to release the anger,hit gym release anger
803,803,Outing na kaya mga BSEE hmm din ako makakasama sainyoo??,non-suicide,"BSEEs are already outing, hmm can I join you too??",bsees already out hmm join
804,804,Nakopoo tagal ng bus!!,non-suicide,Nakopo for a long time on the bus!!,nakopo long time bus
805,805,Gala mode Hanggang linggo ??,non-suicide,Gala mode Until the week ??,gala mode week
806,806,Umay ayaw magcharge !,non-suicide,Umay doesn't want to charge!,umay not want charge
807,807,Pahinga munaa ??,non-suicide,Where are you??,where
808,808,so ayon got my first 2.5 sa activity ?? BAKIT BA DI AKO ARTISTIC TANGINA,possible suicidal post,so Ayon got my first 2.5 in the activity?? WHY AM I NOT ARTISTIC TANGINA?,ayon get first activity why not artistic tangina
809,809,"Sana yung pakikisama ko sa ibang tao, ganon din yung pakikisama sa akin. Sana yung respeto na binibigay ko, ganon din yung bumabalik. Alam kong di mag-aadjust mundo sa akin pero tangina nakakaubos ng pasensya. Nakakabastos.",possible suicidal post,"I hope that the way I spend time with other people is the same as spending time with me. I hope that the respect that I give, is the same that comes back. I know the world won't adjust to me, but it just takes patience. It's rude.",hope way spend time people spending time hope respect give come back know world not adjust take patience rude
810,810,what to do when people always break your trust????,possible suicidal post,what to do when people always break your trust????,what people always break trust
811,811,So di ako gagawa ng homework kasi naniniwala akong masususpend.,possible suicidal post,So I won't do homework because I believe I will be suspended.,not homework because believe suspend
812,812,Life is about taking risks.,possible suicidal post,Life is about taking risks.,life take risk
813,813,Sakit sa Mata ng ilaw hmm,non-suicide,Eye pain from light hmm,eye pain light hmm
814,814,Sana bukas na Yung laban ?????,non-suicide,I hope the match is tomorrow?????,hope match tomorrow
815,815,Sana mapaaga pasok mamaya ??,non-suicide,I hope to be able to go to school later??,hope able go school later
816,816,TikTok yernss kulang nalang ako kasama eh haha,non-suicide,TikTok yernss I just don't have enough friends haha,tiktok yernss not enough friend haha
817,817,Na last card pa bru,non-suicide,It's still the last card bru,still last card bru
818,818,Alak na lang para makatulog sa stress na buhay,possible suicidal post,Just drink to sleep from the stressful life,drink sleep stressful life
819,819,Liquor is my medicine,possible suicidal post,Liquor is my medicine,liquor medicine
820,820,Hahanapin niyo din ako balang araw,possible suicidal post,You will also find me one day,also find one day
821,821,I wish in my other life i’m mentally stable,possible suicidal post,I wish in my other life i’m mentally stable,wish life mentally stable
822,822,Mindset right want to give up,possible suicidal post,Mindset right want to give up,mindset right want give up
824,824,Shettss spiderman 2 cd game Sana gandaa!!!,non-suicide,Shettss spiderman 2 cd game That village!!!,shettss spiderman cd game village
825,825,Di ata tuloy jogging ah,non-suicide,It's not jogging,not jog
826,826,Usto ko na magwork hmm,non-suicide,I'd like to work hmm,like work hmm
827,827,i feel like cleaning up my room but its half apst 11pm,possible suicidal post,i feel like cleaning up my room but its half apst 11pm,feel like clean up room half apst pm
828,828,rlly hate how sensitive i am,possible suicidal post,rlly hate how sensitive i am,rlly hate how sensitive
829,829,sharp,possible suicidal post,sharp,sharp
830,830,"hayop na mood kasi to, di mo matell",possible suicidal post,"because it's an animal's mood, you can't tell",because animal mood not tell
831,831,ano ba namang tanginang mood to,possible suicidal post,what kind of mood is that?,what kind mood
832,832,Lets goo BLACK TEAM!????,non-suicide,Lets goo BLACK TEAM!????,let goo black team
833,833,papasok na talaga ako simula bukas Hanggang sabado ??,non-suicide,I'm really coming in from tomorrow until saturday??,really come tomorrow saturday
834,834,Buti nalng may event kami now .?,non-suicide,It's good that we have an event now.?,good event
835,835,Kuya gilboy bawii kayang kaya Yan sa 2nd take padayon future engr.!!????,non-suicide,Kuya gilboy can you take back that in the 2nd take and continue future engr.!!????,kuya gilboy take back nd take continue future engr
836,836,Nakulog na tiyann ??,non-suicide,Nakulog is there ??,nakulog
837,837,I don’t want to talk to anybody,possible suicidal post,I don’t want to talk to anybody,don want talk anybody
838,838,Fck this world i’m out,possible suicidal post,Fck this world i’m out,fck world out
839,839,Bakit ako na lang lagi nahihirapan malapit na mag give up,possible suicidal post,Why am I always struggling and almost giving up?,why always struggle almost give up
840,840,120km speed sa motor kanina solid tangal stress/ Throttle therapy,possible suicidal post,120km speed on the motor earlier solid tangal stress/ Throttle therapy,km speed motor earlier solid tangal stress throttle therapy
841,841,Ayaw ko na sa world,possible suicidal post,I don't want the world anymore,not want world anymore
842,842,My bad,non-suicide,My bad,bad
843,843,Tulog ko nalng Ito antok na ako ??,non-suicide,"I went to sleep, am I already sleepy??",go sleep already sleepy
844,844,Sana gumaling na agad ????,non-suicide,I hope you get well soon????,hope get well soon
845,845,Ibabawi Kita sa Liga pagchampionin namin ??,non-suicide,I'll take you back to the League when we win the championship??,take back league win championship
846,846,"Wala na Yung teammate mo ,Wala nayung taga box out mo Rami nagsasabi saakin ah hmm??",non-suicide,"Your teammate is gone, there is no one to box you out Rami is telling me ah hmm??",teammate go no one box out ramus tell ah hmm
847,847,Tired sa world,possible suicidal post,Tired of the world,tire world
848,848,Lord sunduin mo na ako,possible suicidal post,Lord pick me up,lord pick up
849,849,Sometimes hurting myself to release my problems,possible suicidal post,Sometimes hurting myself to release my problems,sometimes hurt release problem
850,850,Financially unstable/mentally unstable,possible suicidal post,Financially unstable/mentally unstable,financially unstable mentally unstable
851,851,Hirap pag sabayin school at work kapahod na,possible suicidal post,It's hard to juggle school and work at the same time,hard juggle school work time
852,852,Lowbat na brain ??,non-suicide,Lowbat brain??,lowbat brain
853,853,Lakas ng dot moo,non-suicide,Power of dot moo,power dot moo
854,854,Grave naman uwi ko patulog na sila hmm,non-suicide,"Seriously, I'm going home and they're going to bed hmm",seriously go home go bed hmm
855,855,Nasasanay ko na wordings hmm??,non-suicide,I'm getting used to wordings hmm??,get use wording hmm
856,856,Happy nila dito ah tawa ng tawa ??,non-suicide,"They are happy here, laughing so much??",happy laugh much
857,857,Kala ko ako lang para sayo,possible suicidal post,I'm the only one for you,only one
858,858,Crying right now,possible suicidal post,Crying right now,cry right
859,859,Need someone to appreciate me,possible suicidal post,Need someone to appreciate me,need someone appreciate
860,860,5% giving on life,possible suicidal post,5% giving on life,give life
861,861,Need to work on my life,possible suicidal post,Need to work on my life,need work life
862,862,Grind lang ng grind !,non-suicide,Just grind grind!,grind grind
863,863,Abot pala Dito Yung wifi sa brgy ??,non-suicide,Does the wifi reach here in the brgy??,wifi reach brgy
864,864,Umay sa 500 muntik pa mawala ??,non-suicide,Umay at 500 almost lost??,umay almost lose
865,865,Solid ng hilot 1 hr. Mahigit,non-suicide,Midwife solid 1 hr. More,midwife solid hr more
866,866,Rami tweet ni forehead,non-suicide,Rami tweet ni forehead,ramus tweet ni forehead
867,867,Wala ng energy 2/8??,possible suicidal post,No energy 2/8??,no energy
868,868,Wrong decision ??,possible suicidal post,Wrong decision ??,wrong decision
869,869,I want car accident and death.,possible suicidal post,I want car accident and death.,want car accident death
870,870,"I want car accident, coma and memory loss.",possible suicidal post,"I want car accident, coma and memory loss.",want car accident coma memory loss
871,871,tangina wala pa kong report HAHAHAHAHA ANUNA,possible suicidal post,but I don't have a report yet HAHAHAHAHA ANUNA,not report yet hahahahaha anuna
872,872,Gawin ko ulit Yung dati bahala na,non-suicide,I'll do it again. It's up to you,up
873,873,Nagpapicture saamin Yung ebdanes ladies ??,non-suicide,The ebdanes ladies took pictures with us??,ebdanes lady take picture u
874,874,Sana makahula mamaya ??,non-suicide,Hope to guess later ??,hope guess later
875,875,Pirma tas uwi kaagad ??,non-suicide,Signature bag go home right away ??,signature bag go home right away
876,876,50/50 pa mamaya huhu,non-suicide,50/50 later huhu,later huhu
877,877,miss ko na frennies ko,possible suicidal post,I miss my frennies,miss frennies
878,878,haha hindi daw ba ako nahihiya mag post ng sexy pics sabi nong pinaka ate sa room namin? HAAA? HAAAAA????,possible suicidal post,haha I'm not ashamed to post sexy pics said the sister in our room? HAHA? HAAAAA????,haha not ashamed post sexy pic say sister room haha haaaaa
879,879,i feel lost inside myself,possible suicidal post,i feel lost inside myself,feel lose inside
880,880,energy siz ack????,possible suicidal post,energy siz ack????,energy siz ack
881,881,To many projects want to give up,possible suicidal post,To many projects want to give up,many project want give up
882,882,See you ulit kasbuu guys,non-suicide,See you again kasbuu guys,see kasbuu guy
883,883,Perfect timing sa pagpasok ??,non-suicide,Perfect timing to enter??,perfect timing enter
884,884,Ok lang ba Yung tinatago Yung kilig hm hahaha solve na araw ko ngayon thanks idol,non-suicide,Is it ok to hide the thrill hm hahaha today is my day to solve thanks idol,ok hide thrill hm hahaha today day solve thanks idol
885,885,Nanuod ba naman na butas Yung short ??,non-suicide,Did you see a hole in the short??,see hole short
886,886,Putik na paa to pasmado??,non-suicide,Are you covered in mud??,cover mud
887,887,mamatay din naman tayong lahat,possible suicidal post,we will all die too,all die
888,888,"nakakastress, gusto ko nalang umakyat na",possible suicidal post,"it's stressful, I just want to go upstairs",stressful want go upstairs
889,889,ayaw ko na talaga ,possible suicidal post,I really don't want to,really not want
890,890,Eyebags ko kakaiyak mabigat na,possible suicidal post,My eyelids are so heavy,eyelid heavy
891,891,Always compared to others,possible suicidal post,Always compared to others,always compare others
892,892,Solid naman kapag tinuloy sa April Liga tas may Liga Rin Dito . Lets G!,non-suicide,It's solid when it continues in the April League because there's also a League Here. Let's G!,solid continue april league because also league let
893,893,Ang ywohs masiyado malapit kana buminggo ??,non-suicide,Is ywohs so bad that you're about to go crazy??,ywohs bad go crazy
894,894,Ubo umalis ka plss??,non-suicide,Cough leave plss??,cough leave plss
895,895,Kara airplane mode met attoy cp,non-suicide,Kara airplane mode met attoy cp,kara airplane mode meet attoy cp
896,896,"Excited nakong maging coach si ,coach  ????",non-suicide,"I'm excited to be a coach, coach ????",excite coach coach
897,897,I will be fine,possible suicidal post,I will be fine,fine
898,898,why is this happening to meee,possible suicidal post,why is this happening to meee,why happen meee
899,899,want to end this suffering,possible suicidal post,want to end this suffering,want end suffering
900,900,kill,possible suicidal post,kill,kill
901,901,lets end this life,possible suicidal post,lets end this life,let end life
902,902,"Tama na pagbibigay ,last nayun",non-suicide,"Giving right, that's the last one",give right last one
903,903,Putik muntik nako mascam Buti Hindi ako bumyahe huhu,non-suicide,I'm almost covered in mud. Good thing I don't travel huhu,almost cover mud good thing not travel huhu
904,904,Ginagawa ko namang tubig Yung soft drinks ??,non-suicide,I make soft drinks with water??,make soft drink water
905,905,Lt naman Yung muging ??,non-suicide,What about the muging??,what muging
906,906,Sa next na Liga nalang ilabas tong 2.0 na nakatago,non-suicide,"In the next League, just release this 2.0 that is hidden",next league release hidden
907,907,My whole existence is aching,possible suicidal post,My whole existence is aching,whole existence ache
908,908,"Well, in the end, theres no such thing as a perfect relationship. It just all comes down to how both parties handle it.",possible suicidal post,"Well, in the end, theres no such thing as a perfect relationship. It just all comes down to how both parties handle it.",well end theres no thing perfect relationship all come down how party handle
909,909,"Seeing people who goes on and off together makes me think they must really be devoted with each other, but at the same time, if they are, why would they go off in the first place?",possible suicidal post,"Seeing people who goes on and off together makes me think they must really be devoted with each other, but at the same time, if they are, why would they go off in the first place?",see people who go together make think must really devote time why go first place
910,910,Received the sign,possible suicidal post,Received the sign,receive sign
911,911,"Playing till 3am is one thing, but watching a series till this late, or should I say early when I should already be sleeping, well at least I enjoyed lmaoo",possible suicidal post,"Playing till 3am is one thing, but watching a series till this late, or should I say early when I should already be sleeping, well at least I enjoyed lmaoo",play till one thing watch series till late say early already sleep well least enjoy lmaoo
912,912,Hmm kailangan na magseryoso na may tutor ????,non-suicide,Hmm need to get serious with a tutor ????,hmm need get serious tutor
913,913,Ano na BSEE-3A galaw galaw naa,non-suicide,What is the BSEE-3A movement?,what bsee movement
914,914,BLUE HEART YERNS ??,non-suicide,BLUE HEART YERNS ??,blue heart yerns
915,915,Last nayun di na mauulit hmm????,non-suicide,"That was the last time, it won't happen again hmm????",last time not happen hmm
916,916,Papunta ng overnight tong gagawin ko nako??,non-suicide,I'm going to do it overnight??,go overnight
917,917,dami pa ring what ifs.,possible suicidal post,dami pa ring what ifs.,dami pa ring what ifs
918,918,"it has been 7 years, Pa.",possible suicidal post,"it has been 7 years, Pa.",year pa
919,919,higa na ako para hindi magising,possible suicidal post,I'm going to bed so I don't wake up,go bed not wake up
920,920,sabik sa kabaong,possible suicidal post,eager for the coffin,eager coffin
921,921,mahal ko ang buhay pero ayoko na,possible suicidal post,I love life but I don't want it anymore,love life not want anymore
922,922,Arat bondee guyss !,non-suicide,Arat bondee guys!,arat bondee guy
923,923,rt for basbas ??,non-suicide,rt for basbas ??,rt basbas
924,924,Ok dipo lalabas ??,non-suicide,Ok will it come out??,ok come out
925,925,Nakakabadtrip amp!,non-suicide,Bad trip amp!,bad trip amp
926,926,Bago maglaro may quiz muna ??,non-suicide,Bago maglaro may quiz want ??,bago maglaro may quiz want
927,927,Looking for way out,possible suicidal post,Looking for way out,look way out
928,928,Can't see future,possible suicidal post,Can't see future,not see future
929,929,Hanngang dito nalang ata tayo,possible suicidal post,That's all we can do,all
930,930,Pasalpok na ata sa bus,possible suicidal post,Let's get on the bus,let get bus
931,931,Surrender na,possible suicidal post,Surrender already,surrender already
932,932,Deredretsyo na papuntang finals ??,non-suicide,Descending to the finals??,descend final
933,933,Solid talagaa ni boss Aaron the manager ????,non-suicide,Boss Aaron the manager is really solid ????,bos aaron manager really solid
934,934,Naiscam nako ni Yung sukli ko alaws na??,non-suicide,Yung scammed me with my change already??,yung scammed change already
935,935,Excited ako sa uniform namin kaso Hindi Rin makakapunta sa parade??,non-suicide,I'm excited about our uniform in case I can't go to the parade either??,excite uniform case not go parade either
936,936,Solid si manager Aaron ????,non-suicide,Solid si manager Aaron ????,solid si manager aaron
937,937,No chance of winning in life,possible suicidal post,No chance of winning in life,no chance win life
938,938,You hurt me so bad,possible suicidal post,You hurt me so bad,hurt bad
939,939,Ahhhh tama na please,possible suicidal post,Ahhhh that's right please,ahhhh right please
940,940,Pagod lang to,possible suicidal post,It's just tired,tire
941,941,2% sa buhay,possible suicidal post,2% in life,life
942,942,Persmove talaaga Yung Isa diyan tas may libre pako bukas ??,non-suicide,Persmove köfü That one over there has a free nail tomorrow??,persmove one over free nail tomorrow
943,943,Layo ng pallotan ni daddy botolan ??,non-suicide,Daddy's pallotan is always bottled ??,daddy pallotan always bottle
944,944,Dito na ata matulog sa olongapo HAHAHAHA,non-suicide,Let's sleep here in Olongapo HAHAHAHA,let sleep olongapo hahahaha
945,945,"wala na dapat pasok after finals ng  20-21, tapos minove nila exam merong may 28 at june 3? wtf prmsu??",non-suicide,"there is no one to go to school after finals on 20-21, then they said there will be an exam on 28 and June 3? wtf prmsu??",no one go school after final say exam june wtf prmsu
946,946,homeeeee,non-suicide,homeeeee,homeeeee
947,947,how can you give up so easily? how can you not find a reason to stay?,possible suicidal post,how can you give up so easily? how can you not find a reason to stay?,how give up easily how not find reason stay
948,948,Rejected by the world,possible suicidal post,Rejected by the world,reject world
949,949,May pagasa pa kaya mag patuloy sa life,possible suicidal post,There is still hope to continue in life,still hope continue life
950,950,Hayssss what’s happening to me,possible suicidal post,Hayssss what’s happening to me,hay what happen
951,951,No budget for mental health therapy hehehe,possible suicidal post,No budget for mental health therapy hehehe,no budget mental health therapy hehehe
952,952,perfect ang midnight chika w ena and ate tina??,non-suicide,midnight chika w ena and aunt tina is perfect??,midnight chika ena aunt tina perfect
953,953,yaaasss 5/5 sa biglaang kopi kubo,non-suicide,yaaasss 5/5 on sudden kopi kubo,yaaasss sudden kopi kubo
954,954,sis just got her nails done??,non-suicide,sis just got her nails done??,si get nail do
955,955,"bakit ang daming walang emotional intelligence, tanga ba kayo",non-suicide,"why do so many people have no emotional intelligence, are you stupid?",why many people no emotional intelligence stupid
956,956,aaaaaa how nice it is to start journaling againnnn??,non-suicide,aaaaaa how nice is it to start journaling againnnn??,aaaaaa how nice start journaling againnnn
957,957,1day a meal lang kaya ng aking body sa stresss,possible suicidal post,My body can only handle 1 meal a day with stress,body only handle meal day stress
958,958,Pagod na sa school pagod pa sa work hays,possible suicidal post,"Tired of school, tired of work hays",tire school tire work hay
959,959,Gusto ko na makita ilaw sa taas heheheheh,possible suicidal post,I want to see light at the top heheheheh,want see light top heheheheh
960,960,Bakit mo ako iniwan,possible suicidal post,Why did you leave me,why leave
961,961,My eyes are raining,possible suicidal post,My eyes are raining,eye rain
962,962,a ‘just because’ flower????,non-suicide,a ‘just because’ flower????,because flower
963,963,shopee nanaman??,non-suicide,shopee anyway??,shopee anyway
964,964,Behind every successful woman is herself,non-suicide,Behind every successful woman is herself,behind every successful woman
965,965,"ate 3pm lumabas na ako kanina, tapos 5pm pala natapos mga kaklase ko?!?!????",non-suicide,"sister, I went out at 3pm earlier, and my classmates finished at 5pm?!?!????",sister go out pm earlier classmate finish pm
966,966,the student in me is not studenting,non-suicide,the student in me is not studenting,student not studenting
967,967,baliw na baliw na ako kakaisip,possible suicidal post,I'm crazy to think,crazy think
968,968,walang katapusang problema,possible suicidal post,endless problems,endless problem
969,969,bruhhh pagod na ako,possible suicidal post,brohhh I'm tired,brohhh tire
970,970,ayaw ko ng umuwi maglalayas na lang,possible suicidal post,I don't want to go home and just run away,not want go home run away
971,971,mental breakdown,possible suicidal post,mental breakdown,mental breakdown
972,972,si ading ko naman HAHAHAHAHAHQ bakit daw pare parehas ang mukha sa highschool series ni esnyr?????? beh iisang tao naman yon e HAHAHAHA,non-suicide,"my brother HAHAHAHAHAHAHQ why does he have the same face as esnyr's high school series?????? Well, that's the same person HAHAHAHA",brother hahahahahahahq why face esnyr high school series well person hahahaha
973,973,14 activities done!!??,non-suicide,14 activities done!!??,activity do
974,974,binati ni mama yung kilay ko!! yehey HAHAHSH napansin na natrim sha??,non-suicide,mom congratulated my eyebrows!! yehey HAHAHSH did you notice that it was trimmed sha??,mom congratulate eyebrow yehey hahahsh notice trim
975,975,ate natakot ako nung nakaraan anlala ng sipon ko walang lasa jabee ko????,non-suicide,"sister, I was scared last time because my cold had no taste, jabee????",sister scar last time because cold no taste jabee
976,976,sakit ng ulo ko,non-suicide,My head hurts,head hurt
977,977,want double suicide?,possible suicidal post,want double suicide?,want double suicide
978,978,exhausted,possible suicidal post,exhausted,exhaust
979,979,haha grabeng pag uugali naman yan mga kuya??,possible suicidal post,haha that's a bad attitude bros??,haha bad attitude bros
980,980,sarap bumukod,possible suicidal post,it's nice to be apart,nice apart
981,981,"Pet peeve ko na ata tong ganito. Tangina okay sana kung absent ka eh, kaso nandon ka lang, nag ce- cellphone , di nakikinig sa discussion.",possible suicidal post,"This is my pet peeve. Of course it's okay if you're absent, because you're just there, on your cell phone, not listening to the discussion.",pet peeve course okay absent because cell phone not listen discussion
982,982,ako na nga kinuhanan ako pa pagbabantaan HAHAHAHA ANGAASSS,non-suicide,I was filmed and threatened HAHAHAHA ANGAASSS,film threaten hahahaha angaasss
983,983,hirap maging parte ng pamilya niyo idol??,non-suicide,is it hard to be part of your idol family??,hard part idol family
984,984,??| THE NEW OFFICIAL LOGO FOR TAYLOR SWIFTS THE ERAS TOUR!,non-suicide,??| THE NEW OFFICIAL LOGO FOR TAYLOR SWIFTS THE ERAS TOUR!,new official logo taylor swift era tour
